,portfolio_value
2010-01-04 21:00:00,100000.0
2010-01-05 21:00:00,100000.0
2010-01-06 21:00:00,100000.0
2010-01-07 21:00:00,100000.0
2010-01-08 21:00:00,100000.0
2010-01-11 21:00:00,99737.31655734
2010-01-12 21:00:00,99152.137255053
2010-01-13 21:00:00,99660.41156886301
2010-01-14 21:00:00,99097.036078106
2010-01-15 21:00:00,97488.344778234
2010-01-19 21:00:00,99658.49204858701
2010-01-20 21:00:00,97893.84985030603
2010-01-21 21:00:00,96149.82034475298
2010-01-22 21:00:00,90554.295821873
2010-01-25 21:00:00,92229.176893003
2010-01-26 21:00:00,91384.41726571001
2010-01-27 21:00:00,91448.983134295
2010-01-28 21:00:00,89928.52452204502
2010-01-29 21:00:00,88437.208538588
2010-02-01 21:00:00,90673.613968276
2010-02-02 21:00:00,90991.30916525301
2010-02-03 21:00:00,90938.911665253
2010-02-04 21:00:00,86848.29140516101
2010-02-05 21:00:00,87792.426170569
2010-02-08 21:00:00,88030.34054148599
2010-02-09 21:00:00,88916.36744363501
2010-02-10 21:00:00,89457.45138113499
2010-02-11 21:00:00,91267.22815689199
2010-02-12 21:00:00,90734.856514019
2010-02-16 21:00:00,93997.776533559
2010-02-17 21:00:00,94080.28274983098
2010-02-18 21:00:00,95372.42888535098
2010-02-19 21:00:00,94093.39784378198
2010-02-22 21:00:00,93357.85663025797
2010-02-23 21:00:00,91576.01050248998
2010-02-24 21:00:00,92962.67786676198
2010-02-25 21:00:00,92101.87435281998
2010-02-26 21:00:00,92770.19889727098
2010-03-01 21:00:00,93675.08366875097
2010-03-02 21:00:00,93433.41631748999
2010-03-03 21:00:00,93385.51381748999
2010-03-04 21:00:00,93402.186477386
2010-03-05 21:00:00,95605.88700233799
2010-03-08 21:00:00,93403.228312386
2010-03-09 21:00:00,93921.70287723499
2010-03-10 21:00:00,93364.28144448399
2010-03-11 21:00:00,93589.55831948397
2010-03-12 21:00:00,93574.14779551497
2010-03-15 20:00:00,93603.866745265
2010-03-16 20:00:00,92848.65879334198
2010-03-17 20:00:00,92275.82754334196
2010-03-18 20:00:00,94778.77191679797
2010-03-19 20:00:00,93125.07111042301
2010-03-22 20:00:00,92752.232360423
2010-03-23 20:00:00,88946.757360423
2010-03-24 20:00:00,88401.32111042298
2010-03-25 20:00:00,89300.048712679
2010-03-26 20:00:00,88881.61183767897
2010-03-29 20:00:00,86231.183087679
2010-03-30 20:00:00,84404.46719919099
2010-03-31 20:00:00,82716.57032419097
2010-04-01 20:00:00,84968.933574191
2010-04-05 20:00:00,86028.09607419098
2010-04-06 20:00:00,88804.39198106603
2010-04-07 20:00:00,87525.481981066
2010-04-08 20:00:00,90048.391283666
2010-04-09 20:00:00,90644.25440866598
2010-04-12 20:00:00,86788.961908666
2010-04-13 20:00:00,82446.59930336195
2010-04-14 20:00:00,74735.95691828805
2010-04-15 20:00:00,66107.48148348801
2010-04-16 20:00:00,71811.68023348795
2010-04-19 20:00:00,73290.43960848798
2010-04-20 20:00:00,66990.93585848797
2010-04-21 20:00:00,68474.237850613
2010-04-22 20:00:00,70080.46347561298
2010-04-23 20:00:00,68279.03397734101
2010-04-26 20:00:00,65939.49397734099
2010-04-27 20:00:00,62384.40647734101
2010-04-28 20:00:00,60292.571477341
2010-04-29 20:00:00,59780.26500273601
2010-04-30 20:00:00,65745.27750273597
2010-05-03 20:00:00,63211.61170259207
2010-05-04 20:00:00,76928.65654924003
2010-05-05 20:00:00,83747.917048197
2010-05-06 20:00:00,79466.493698228
2010-05-07 20:00:00,78388.66619822802
2010-05-10 20:00:00,65558.86557322799
2010-05-11 20:00:00,70032.38182322797
2010-05-12 20:00:00,61003.073555019975
2010-05-13 20:00:00,60156.69066835198
2010-05-14 20:00:00,70016.40566835199
2010-05-17 20:00:00,72351.18816835203
2010-05-18 20:00:00,74222.88087400407
2010-05-19 20:00:00,75370.58024900402
2010-05-20 20:00:00,84130.56587400402
2010-05-21 20:00:00,81373.30959527603
2010-05-24 20:00:00,84293.71357079502
2010-05-25 20:00:00,83688.017945795
2010-05-26 20:00:00,78696.89669579503
2010-05-27 20:00:00,77135.38857079498
2010-05-28 20:00:00,83134.69982079501
2010-06-01 20:00:00,89365.893459699
2010-06-02 20:00:00,86024.375334699
2010-06-03 20:00:00,81348.09783469902
2010-06-04 20:00:00,86436.255334699
2010-06-07 20:00:00,93193.77283469899
2010-06-08 20:00:00,95364.89283469899
2010-06-09 20:00:00,100526.34616048296
2010-06-10 20:00:00,92217.50731505902
2010-06-11 20:00:00,90599.43023836406
2010-06-14 20:00:00,88657.71148836403
2010-06-15 20:00:00,84803.05648836402
2010-06-16 20:00:00,81515.15711336404
2010-06-17 20:00:00,81753.185863364
2010-06-18 20:00:00,81871.12871929997
2010-06-21 20:00:00,82132.39996930002
2010-06-22 20:00:00,86022.82684429998
2010-06-23 20:00:00,86267.9454693
2010-06-24 20:00:00,87204.88171929998
2010-06-25 20:00:00,83686.2854693
2010-06-28 20:00:00,84474.33234429994
2010-06-29 20:00:00,87423.25166567595
2010-06-30 20:00:00,86912.41916567598
2010-07-01 20:00:00,85528.54291567596
2010-07-02 20:00:00,85373.52511758001
2010-07-06 20:00:00,83886.57324258001
2010-07-07 20:00:00,84605.45636758
2010-07-08 20:00:00,86454.61087778496
2010-07-09 20:00:00,87623.90040093701
2010-07-12 20:00:00,88253.41132795098
2010-07-13 20:00:00,94184.75898382299
2010-07-14 20:00:00,95867.47332425896
2010-07-15 20:00:00,96375.30788742099
2010-07-16 20:00:00,96022.77788742096
2010-07-19 20:00:00,99981.50913742094
2010-07-20 20:00:00,97196.47163742097
2010-07-21 20:00:00,102409.67101242096
2010-07-22 20:00:00,105948.38851242099
2010-07-23 20:00:00,104797.84226242098
2010-07-26 20:00:00,106466.17163742095
2010-07-27 20:00:00,100987.86038742095
2010-07-28 20:00:00,103451.367262421
2010-07-29 20:00:00,97210.86601242097
2010-07-30 20:00:00,93169.11786956499
2010-08-02 20:00:00,102339.74786956498
2010-08-03 20:00:00,102513.11974456499
2010-08-04 20:00:00,99930.13197073297
2010-08-05 20:00:00,100129.39834373299
2010-08-06 20:00:00,97944.43396873289
2010-08-09 20:00:00,98507.5506372609
2010-08-10 20:00:00,90226.27063726092
2010-08-11 20:00:00,76093.23563726095
2010-08-12 20:00:00,74793.58997179396
2010-08-13 20:00:00,76048.01497179395
2010-08-16 20:00:00,73110.35503138392
2010-08-17 20:00:00,76136.09226227287
2010-08-18 20:00:00,77670.84601227293
2010-08-19 20:00:00,64741.832887272874
2010-08-20 20:00:00,59758.677472272946
2010-08-23 20:00:00,62894.90559727291
2010-08-24 20:00:00,52556.526095714944
2010-08-25 20:00:00,45395.62297071493
2010-08-26 20:00:00,42108.72195097082
2010-08-27 20:00:00,52028.74320097093
2010-08-30 20:00:00,42937.95445097104
2010-08-31 20:00:00,29158.744825611007
2010-09-01 20:00:00,42556.2729506109
2010-09-02 20:00:00,45174.81492761086
2010-09-03 20:00:00,58741.171802610916
2010-09-07 20:00:00,45298.10370969394
2010-09-08 20:00:00,45148.481209694
2010-09-09 20:00:00,46807.844959693844
2010-09-10 20:00:00,45926.96370969387
2010-09-13 20:00:00,54071.73058469407
2010-09-14 20:00:00,42560.10716511775
2010-09-15 20:00:00,39218.46841511788
2010-09-16 20:00:00,47066.64061051491
2010-09-17 20:00:00,53782.31623551494
2010-09-20 20:00:00,67993.56080195482
2010-09-21 20:00:00,62954.398918858904
2010-09-22 20:00:00,52586.192703146895
