,portfolio_value
2010-09-23 20:00:00,37659.69895398687
2010-09-24 20:00:00,44009.75645398686
2010-09-27 20:00:00,37958.596141987015
2010-09-28 20:00:00,34439.77801698685
2010-09-29 20:00:00,38572.27579432289
2010-09-30 20:00:00,34701.412669323036
2010-10-01 20:00:00,40429.17345932283
2010-10-04 20:00:00,30433.302834322967
2010-10-05 20:00:00,56808.49283432285
2010-10-06 20:00:00,58899.71471254702
2010-10-07 20:00:00,58647.81613186683
2010-10-08 20:00:00,75108.37339818693
2010-10-11 20:00:00,65755.68249667494
2010-10-12 20:00:00,75724.64249667496
2010-10-13 20:00:00,78864.94812167477
2010-10-14 20:00:00,81610.99062167486
2010-10-15 20:00:00,75552.12874667469
2010-10-18 20:00:00,84864.56249667512
2010-10-19 20:00:00,85188.644618425
2010-10-20 20:00:00,99674.16461842501
2010-10-21 20:00:00,103009.85320035275
2010-10-22 20:00:00,95121.680700353
2010-10-25 20:00:00,97958.0625753529
2010-10-26 20:00:00,93193.94820035278
2010-10-27 20:00:00,105101.13632535288
2010-10-28 20:00:00,55751.96320035285
2010-10-29 20:00:00,41548.20483775507
2010-11-01 20:00:00,37688.849212754925
2010-11-02 20:00:00,35919.459770034766
2010-11-03 20:00:00,51441.03664503485
2010-11-04 20:00:00,34421.828721467755
2010-11-05 20:00:00,24612.544174592767
2010-11-08 21:00:00,24036.024049592786
2010-11-09 21:00:00,32601.795924592647
2010-11-10 21:00:00,40485.19717459293
2010-11-11 21:00:00,20882.769333592674
2010-11-12 21:00:00,15319.118335842679
2010-11-15 21:00:00,13116.283960842702
2010-11-16 21:00:00,-13471.55228915735
2010-11-17 21:00:00,-30650.331039157347
2010-11-18 21:00:00,-7080.263539157109
2010-11-19 21:00:00,-6700.211664157163
2010-11-22 21:00:00,-11548.159789157216
2010-11-23 21:00:00,-25492.13041415729
2010-11-24 21:00:00,-18850.686664157198
2010-11-26 18:00:00,-24249.333675842267
2010-11-29 21:00:00,-23153.618050842197
2010-11-30 21:00:00,-47340.579925842234
2010-12-01 21:00:00,-27886.980550842185
2010-12-02 21:00:00,-25505.88867584226
2010-12-03 21:00:00,-12363.364925842267
2010-12-06 21:00:00,-19153.228050842357
2010-12-07 21:00:00,-50893.27555084223
2010-12-08 21:00:00,-40098.07742584217
2010-12-09 21:00:00,-64229.998050842376
2010-12-10 21:00:00,-61659.460068394255
2010-12-13 21:00:00,-54847.62569339422
2010-12-14 21:00:00,-51922.23319339426
2010-12-15 21:00:00,-54019.91069339414
2010-12-16 21:00:00,-60134.58381839411
2010-12-17 21:00:00,-48945.98344094615
2010-12-20 21:00:00,-50256.43656594615
2010-12-21 21:00:00,-53420.159690946166
2010-12-22 21:00:00,-54139.189062159974
2010-12-23 21:00:00,-62367.60468716023
2010-12-27 21:00:00,-55935.81531216018
2010-12-28 21:00:00,-66791.71593716007
2010-12-29 21:00:00,-69956.46093716018
2010-12-30 21:00:00,-79678.73343716038
2010-12-31 21:00:00,-75091.9148477763
2011-01-03 21:00:00,-71869.96547277633
2011-01-04 21:00:00,-66648.15609777626
2011-01-05 21:00:00,-57125.667972776224
2011-01-06 21:00:00,-39426.429222776205
2011-01-07 21:00:00,-40618.30422277632
2011-01-10 21:00:00,-27068.065472776187
2011-01-11 21:00:00,-23517.824273160193
2011-01-12 21:00:00,-12539.086773160147
2011-01-13 21:00:00,-24017.244273160235
2011-01-14 21:00:00,-35069.77302316029
2011-01-18 21:00:00,-33090.66324508004
2011-01-19 21:00:00,-37916.56574508024
2011-01-20 21:00:00,-43317.81012008013
2011-01-21 21:00:00,-40101.37949508021
2011-01-24 21:00:00,-20403.19512008014
2011-01-25 21:00:00,-36349.95262008021
2011-01-26 21:00:00,-23503.99637008016
2011-01-27 21:00:00,-26845.746472394094
2011-01-28 21:00:00,-42058.46584739408
2011-01-31 21:00:00,-30365.970222393982
2011-02-01 21:00:00,-29856.752722394303
2011-02-02 21:00:00,-9617.513347394299
2011-02-03 21:00:00,-42574.73522239423
2011-02-04 21:00:00,-37048.65959739417
2011-02-07 21:00:00,-33388.493347394164
2011-02-08 21:00:00,-38931.06084739417
2011-02-09 21:00:00,-37442.18334739411
2011-02-10 21:00:00,-36321.83737843414
2011-02-11 21:00:00,-26404.66362843418
2011-02-14 21:00:00,-21105.892996434122
2011-02-15 21:00:00,-32090.496746434248
2011-02-16 21:00:00,864.1751285658684
2011-02-17 21:00:00,8165.067959513748
2011-02-18 21:00:00,4111.300848089857
2011-02-22 21:00:00,-3360.820401910227
2011-02-23 21:00:00,-22112.68790190993
2011-02-24 21:00:00,-18163.86665191024
2011-02-25 21:00:00,-7965.378526910092
2011-02-28 21:00:00,7099.399375113891
2011-03-01 21:00:00,-4634.605624885997
2011-03-02 21:00:00,24917.996250113938
2011-03-03 21:00:00,51754.98875011387
2011-03-04 21:00:00,39098.74312511389
2011-03-07 21:00:00,34307.74250011379
2011-03-08 21:00:00,38890.70187511388
2011-03-09 21:00:00,24443.407380874036
2011-03-10 21:00:00,-12849.80824412615
2011-03-11 21:00:00,11272.928005873924
2011-03-14 20:00:00,6722.696755873971
2011-03-15 20:00:00,-21552.598869126057
2011-03-16 20:00:00,-35285.16886912612
2011-03-17 20:00:00,-26142.661994126043
2011-03-18 20:00:00,-17261.544406846282
2011-03-21 20:00:00,9758.307468153886
2011-03-22 20:00:00,6256.914343153941
2011-03-23 20:00:00,32672.92496815382
2011-03-24 20:00:00,27727.920593154035
2011-03-25 20:00:00,30914.301843153895
2011-03-28 20:00:00,27588.86708773789
2011-03-29 20:00:00,29051.46396273782
2011-03-30 20:00:00,17237.66896273801
2011-03-31 20:00:00,16661.310837737983
2011-04-01 20:00:00,2012.02333773789
2011-04-04 20:00:00,1609.029683167697
2011-04-05 20:00:00,-5578.393441832159
2011-04-06 20:00:00,2269.3824888161616
2011-04-07 20:00:00,-32928.39831134409
2011-04-08 20:00:00,-21190.30456134409
2011-04-11 20:00:00,-12908.638311343966
2011-04-12 20:00:00,-31926.220811343985
2011-04-13 20:00:00,-14683.34894867416
2011-04-14 20:00:00,-18209.479573674034
2011-04-15 20:00:00,-24369.692073674058
2011-04-18 20:00:00,-38944.85779900721
2011-04-19 20:00:00,-29018.2615490068
2011-04-20 20:00:00,-2044.3084203031613
2011-04-21 20:00:00,-2876.0602953032358
2011-04-25 20:00:00,-1486.4357641350944
2011-04-26 20:00:00,7785.367985864985
2011-04-27 20:00:00,-589.3695141350618
2011-04-28 20:00:00,4507.665340037085
2011-04-29 20:00:00,40387.09034003713
2011-05-02 20:00:00,40815.58284003695
2011-05-03 20:00:00,38272.77784003713
2011-05-04 20:00:00,37003.109090036945
2011-05-05 20:00:00,35516.60846503696
2011-05-06 20:00:00,39814.397215037025
2011-05-09 20:00:00,37315.149090036866
2011-05-10 20:00:00,29893.549715036992
2011-05-11 20:00:00,37704.08971503691
2011-05-12 20:00:00,28898.078465037164
2011-05-13 20:00:00,22043.164715036866
2011-05-16 20:00:00,10239.930965036969
2011-05-17 20:00:00,-6074.825909962994
2011-05-18 20:00:00,29843.46096503688
2011-05-19 20:00:00,25656.635965037043
2011-05-20 20:00:00,48381.355340037146
2011-05-23 20:00:00,25460.35471503716
2011-05-24 20:00:00,21257.199715037015
2011-05-25 20:00:00,37466.434090037015
2011-05-26 20:00:00,37247.26784003712
2011-05-27 20:00:00,30818.882840036997
2011-05-31 20:00:00,34598.20221503696
2011-06-01 20:00:00,21200.719090037164
2011-06-02 20:00:00,27837.349715036922
2011-06-03 20:00:00,14781.68221503694
2011-06-06 20:00:00,20217.52909003687
2011-06-07 20:00:00,12621.358160487143
2011-06-08 20:00:00,11014.3960107991
2011-06-09 20:00:00,10511.05976079905
2011-06-10 20:00:00,-1725.2665379288374
2011-06-13 20:00:00,2719.7853370711673
2011-06-14 20:00:00,19694.304712071083
2011-06-15 20:00:00,8318.119087071042
2011-06-16 20:00:00,-6560.772162929061
2011-06-17 20:00:00,-11888.00411605381
2011-06-20 20:00:00,-18732.18224105402
2011-06-21 20:00:00,170.0921339461347
2011-06-22 20:00:00,-6884.951616053819
2011-06-23 20:00:00,-12363.79411605408
2011-06-24 20:00:00,-20885.255991053884
2011-06-27 20:00:00,-10672.45599105407
2011-06-28 20:00:00,6186.432711004978
2011-06-29 20:00:00,9392.749589005136
2011-06-30 20:00:00,19102.568339004996
2011-07-01 20:00:00,41306.86146400496
2011-07-05 20:00:00,48495.94234410289
2011-07-06 20:00:00,47125.427344102995
2011-07-07 20:00:00,55850.46609410306
2011-07-08 20:00:00,50241.40734410321
2011-07-11 20:00:00,28220.93088116194
2011-07-12 20:00:00,9099.204631161876
2011-07-13 20:00:00,13171.187756162137
2011-07-14 20:00:00,3595.172384286998
2011-07-15 20:00:00,6701.269884287147
2011-07-18 20:00:00,-5172.328240713105
2011-07-19 20:00:00,30650.75300928706
2011-07-20 20:00:00,19714.8917592871
2011-07-21 20:00:00,28962.399840063183
2011-07-22 20:00:00,80501.45859006315
2011-07-25 20:00:00,67062.99421506294
2011-07-26 20:00:00,58656.226090063225
2011-07-27 20:00:00,41040.94609006308
2011-07-28 20:00:00,38067.94296506303
2011-07-29 20:00:00,96682.3180790391
2011-08-01 20:00:00,88241.70984328713
2011-08-02 20:00:00,63842.479289379204
2011-08-03 20:00:00,64668.9882435553
2011-08-04 20:00:00,5818.0119935554685
2011-08-05 20:00:00,-2752.2693592436844
2011-08-08 20:00:00,-84630.69498424383
2011-08-09 20:00:00,-41980.455117427744
2011-08-10 20:00:00,-93301.30949242786
2011-08-11 20:00:00,-41033.287617427995
2011-08-12 20:00:00,-42955.75511742779
2011-08-15 20:00:00,-13586.129492427805
2011-08-16 20:00:00,-19711.405742427916
2011-08-17 20:00:00,-44501.405742427916
2011-08-18 20:00:00,-79692.95511742774
2011-08-19 20:00:00,-63162.39636742778
2011-08-22 20:00:00,-54319.33636742784
2011-08-23 20:00:00,28446.564882572042
2011-08-24 20:00:00,43575.70613257203
2011-08-25 20:00:00,33337.113632572116
2011-08-26 20:00:00,76007.5467575721
2011-08-29 20:00:00,97288.51175757218
2011-08-30 20:00:00,110183.20675757225
2011-08-31 20:00:00,89137.89300757216
2011-09-01 20:00:00,87408.36363257212
2011-09-02 20:00:00,64326.476757571916
2011-09-06 20:00:00,74210.62238257215
2011-09-07 20:00:00,103012.01988257212
2011-09-08 20:00:00,113028.79550757236
2011-09-09 20:00:00,73133.01675757219
2011-09-12 20:00:00,84034.10738257202
2011-09-13 20:00:00,123967.55363257206
2011-09-14 20:00:00,153540.96550757228
2011-09-15 20:00:00,140675.5630075722
2011-09-16 20:00:00,145017.73863257212
2011-09-19 20:00:00,140966.3905075722
2011-09-20 20:00:00,174408.6736325723
2011-09-21 20:00:00,167932.02425757213
2011-09-22 20:00:00,163301.04425757227
2011-09-23 20:00:00,163692.1950013719
2011-09-26 20:00:00,196115.54187637207
2011-09-27 20:00:00,211168.37375137187
2011-09-28 20:00:00,183080.21000137238
2011-09-29 20:00:00,148988.99187637214
2011-09-30 20:00:00,134382.47000137216
2011-10-03 20:00:00,85483.88125137216
2011-10-04 20:00:00,71528.74625137215
2011-10-05 20:00:00,98781.88375137222
2011-10-06 20:00:00,63283.119376371964
2011-10-07 20:00:00,49190.889376372215
2011-10-10 20:00:00,72585.268751372
2011-10-11 20:00:00,84473.35000137181
2011-10-12 20:00:00,53177.283751372015
2011-10-13 20:00:00,71812.73500137206
2011-10-14 20:00:00,76017.27125137183
2011-10-17 20:00:00,44465.19750137208
2011-10-18 20:00:00,39551.539376372006
2011-10-19 20:00:00,30336.900626372313
2011-10-20 20:00:00,24028.206876372104
2011-10-21 20:00:00,32172.476251372136
2011-10-24 20:00:00,36776.685626372
2011-10-25 20:00:00,49108.12937637197
2011-10-26 20:00:00,45033.68820149207
2011-10-27 20:00:00,17115.898826492252
2011-10-28 20:00:00,26083.49632649205
2011-10-31 20:00:00,10022.708201492089
2011-11-01 20:00:00,7987.4944514920935
2011-11-02 20:00:00,9665.984451492084
2011-11-03 20:00:00,19625.75828394806
2011-11-04 20:00:00,15903.728908948135
2011-11-07 21:00:00,10448.119533948135
2011-11-08 21:00:00,11976.802658948232
2011-11-09 21:00:00,6364.909533948172
2011-11-10 21:00:00,-2387.7529660519212
2011-11-11 21:00:00,-7922.37609105173
2011-11-14 21:00:00,-15358.662966051721
2011-11-15 21:00:00,-14289.220466051833
2011-11-16 21:00:00,-51745.2777528998
2011-11-17 21:00:00,-73855.2034842358
2011-11-18 21:00:00,-104469.50223423576
2011-11-21 21:00:00,-89322.7147342359
2011-11-22 21:00:00,-83595.22098423599
2011-11-23 21:00:00,-65674.02223423577
2011-11-25 18:00:00,-81514.20410923578
2011-11-28 21:00:00,-65968.56285923603
2011-11-29 21:00:00,-53432.36535923567
2011-11-30 21:00:00,-50441.26598423603
2011-12-01 21:00:00,-6869.835984235862
2011-12-02 21:00:00,-16919.89285923587
2011-12-05 21:00:00,-17359.036609235685
2011-12-06 21:00:00,-40275.64848423586
2011-12-07 21:00:00,-62007.7972342358
2011-12-08 21:00:00,-64435.61035923578
2011-12-09 21:00:00,-88763.43473423575
2011-12-12 21:00:00,-84597.64301968378
2011-12-13 21:00:00,-89913.91739468381
2011-12-14 21:00:00,-100436.21114468353
2011-12-15 21:00:00,-119501.48739468388
2011-12-16 21:00:00,-109559.45488023566
2011-12-19 21:00:00,-91841.95500629145
2011-12-20 21:00:00,-80499.54250629165
2011-12-21 21:00:00,-74109.81750629179
2011-12-22 21:00:00,-80158.0050062919
2011-12-23 21:00:00,-78886.41375629208
2011-12-27 21:00:00,-65799.98813129164
2011-12-28 21:00:00,-63575.83125629154
2011-12-29 21:00:00,-76717.86500629154
2011-12-30 21:00:00,-85859.97563129157
2012-01-03 21:00:00,-85298.73500629171
2012-01-04 21:00:00,-119578.42313129175
2012-01-05 21:00:00,-126668.87375629158
2012-01-06 21:00:00,-139501.1456312918
2012-01-09 21:00:00,-181327.8375062917
2012-01-10 21:00:00,-191773.3662562914
2012-01-11 21:00:00,-170397.35188129166
2012-01-12 21:00:00,-189418.20125629136
2012-01-13 21:00:00,-167845.42875629175
2012-01-17 21:00:00,-173578.92625629145
2012-01-18 21:00:00,-179057.73375629133
2012-01-19 21:00:00,-185321.34688129154
2012-01-20 21:00:00,-200696.3206312914
2012-01-23 21:00:00,-212608.48313129152
2012-01-24 21:00:00,-216055.14813129176
2012-01-25 21:00:00,-198380.825006292
2012-01-26 21:00:00,-235902.06813129163
2012-01-27 21:00:00,-229973.96500629184
2012-01-30 21:00:00,-232251.31063129177
2012-01-31 21:00:00,-204399.90000629157
2012-02-01 21:00:00,-188966.1743812917
2012-02-02 21:00:00,-128368.42625629183
2012-02-03 21:00:00,-122165.22750629176
2012-02-06 21:00:00,-132308.59625629146
2012-02-07 21:00:00,-144384.78563129125
2012-02-08 21:00:00,-59565.876256291755
2012-02-09 21:00:00,-73360.92000629171
2012-02-10 21:00:00,-60180.94125629135
2012-02-13 21:00:00,-66658.35131871572
2012-02-14 21:00:00,-51947.11819371552
2012-02-15 21:00:00,-58969.42756871559
2012-02-16 21:00:00,-39235.20356749161
2012-02-17 21:00:00,-50700.307317491504
2012-02-21 21:00:00,-45400.55606749165
2012-02-22 21:00:00,-21953.46294249175
2012-02-23 21:00:00,-138.01753649162129
2012-02-24 21:00:00,-16282.111286491505
2012-02-27 21:00:00,6362.924338508397
2012-02-28 21:00:00,24177.880588508473
2012-02-29 21:00:00,32104.346213508747
2012-03-01 21:00:00,72768.72058850806
2012-03-02 21:00:00,68488.79433850851
2012-03-05 21:00:00,110888.728713508
2012-03-06 21:00:00,137081.13058850827
2012-03-07 21:00:00,143594.32371350826
2012-03-08 21:00:00,139989.45433850848
2012-03-09 21:00:00,168500.4362135086
2012-03-12 20:00:00,141634.99443944456
2012-03-13 20:00:00,134154.39068944467
2012-03-14 20:00:00,139520.23506444425
2012-03-15 20:00:00,146479.1425644444
2012-03-16 20:00:00,128429.05443944424
2012-03-19 20:00:00,123856.98756444437
2012-03-20 20:00:00,131065.98568944464
2012-03-21 20:00:00,146238.84631444459
2012-03-22 20:00:00,157530.2106894447
2012-03-23 20:00:00,168927.2388144445
2012-03-26 20:00:00,192613.1425644441
2012-03-27 20:00:00,162406.1163144444
2012-03-28 20:00:00,163330.10256444477
2012-03-29 20:00:00,132216.45943944386
2012-03-30 20:00:00,139588.38381444436
2012-04-02 20:00:00,168428.23506444442
2012-04-03 20:00:00,144830.62318944436
2012-04-04 20:00:00,141345.28943944423
2012-04-05 20:00:00,146433.63568944443
2012-04-09 20:00:00,142795.4513144447
2012-04-10 20:00:00,136678.79068944443
2012-04-11 20:00:00,134405.13568944443
2012-04-12 20:00:00,87396.97743744486
2012-04-13 20:00:00,111617.93931244437
2012-04-16 20:00:00,96461.39306244453
2012-04-17 20:00:00,101243.97868744431
2012-04-18 20:00:00,151576.31806244445
2012-04-19 20:00:00,139756.90243744449
2012-04-20 20:00:00,138714.51993744436
2012-04-23 20:00:00,108443.2735958441
2012-04-24 20:00:00,44934.86422084435
2012-04-25 20:00:00,57740.2554708448
2012-04-26 20:00:00,71603.71487494034
2012-04-27 20:00:00,117246.66299994075
2012-04-30 20:00:00,140447.59987494076
2012-05-01 20:00:00,113306.46049994079
2012-05-02 20:00:00,120076.51862494048
2012-05-03 20:00:00,53606.38299994025
2012-05-04 20:00:00,49423.883624940645
2012-05-07 20:00:00,83050.65862494073
2012-05-08 20:00:00,82007.64737494016
2012-05-09 20:00:00,64026.894874940685
2012-05-10 20:00:00,103469.39838274871
2012-05-11 20:00:00,130272.54775774787
2012-05-14 20:00:00,145386.2276044146
2012-05-15 20:00:00,163521.80697941396
2012-05-16 20:00:00,163924.86072941462
2012-05-17 20:00:00,135487.65790885437
2012-05-18 20:00:00,124740.88665885496
2012-05-21 20:00:00,148530.85540885455
2012-05-22 20:00:00,155212.4154088546
2012-05-23 20:00:00,217710.7760338544
2012-05-24 20:00:00,235346.21415885462
2012-05-25 20:00:00,243761.14728385463
2012-05-29 20:00:00,277867.02478385484
2012-05-30 20:00:00,269236.3711276151
2012-05-31 20:00:00,276449.77487761516
2012-06-01 20:00:00,277692.0992526141
2012-06-04 20:00:00,321883.71377158107
2012-06-05 20:00:00,324093.65939658147
2012-06-06 20:00:00,281397.54377158143
2012-06-07 20:00:00,262468.8562715817
2012-06-08 20:00:00,269959.6987715813
2012-06-11 20:00:00,261865.18377158092
2012-06-12 20:00:00,244838.19064658112
2012-06-13 20:00:00,210856.87947199703
2012-06-14 20:00:00,271311.0550969978
2012-06-15 20:00:00,305840.3300969974
2012-06-18 20:00:00,359332.85027812526
2012-06-19 20:00:00,352486.64590312535
2012-06-20 20:00:00,326941.83902812516
2012-06-21 20:00:00,309579.952153125
2012-06-22 20:00:00,321323.60090312484
2012-06-25 20:00:00,335027.6652781258
2012-06-26 20:00:00,349434.2984031261
2012-06-27 20:00:00,281047.78277812514
2012-06-28 20:00:00,349336.41965312476
2012-06-29 20:00:00,360506.3190281256
2012-07-02 20:00:00,361694.1059031256
2012-07-03 17:00:00,350929.3584031253
2012-07-05 20:00:00,352307.1290281255
2012-07-06 20:00:00,363973.8177781248
2012-07-09 20:00:00,392379.4340281252
2012-07-10 20:00:00,396751.066898078
2012-07-11 20:00:00,412235.2693980769
2012-07-12 20:00:00,470601.38314807735
2012-07-13 20:00:00,451710.71314807713
2012-07-16 20:00:00,425697.08877307706
2012-07-17 20:00:00,432270.8375230775
2012-07-18 20:00:00,351418.2631480777
2012-07-19 20:00:00,358964.2193980777
2012-07-20 20:00:00,372765.92752307747
2012-07-23 20:00:00,363794.3331480769
2012-07-24 20:00:00,393855.6525230775
2012-07-25 20:00:00,370691.34564807767
2012-07-26 20:00:00,378478.3350230768
2012-07-27 20:00:00,320482.07853891683
2012-07-30 20:00:00,327955.48666391714
2012-07-31 20:00:00,311987.3147889172
2012-08-01 20:00:00,286159.1041639172
2012-08-02 20:00:00,436343.55853891734
2012-08-03 20:00:00,417439.3229139178
2012-08-06 20:00:00,395372.82416391716
2012-08-07 20:00:00,348451.08364471747
2012-08-08 20:00:00,372913.6048947171
2012-08-09 20:00:00,346534.1373947172
2012-08-10 20:00:00,295777.6036447177
2012-08-13 20:00:00,322436.67739471735
