Date,Research Firm,Action,From,To,Ticker
2006-09-28,Hilliard Lyons,Downgrade,Buy,Long-term Buy,DIS
2006-09-21,Sanders Morris Harris,Downgrade,Buy,Hold,DIS
2006-07-27,JP Morgan,Initiated,,Overweight,DIS
2006-07-17,Cowen & Co,Downgrade,Outperform,Neutral,DIS
2006-07-13,CIBC Wrld Mkts,Downgrade,Sector Perform,Sector Underperform,DIS
2006-06-14,AG Edwards,Downgrade,Buy,Hold,DIS
2006-06-12,Citigroup,Downgrade,Buy,Hold,DIS
2006-02-07,CIBC Wrld Mkts,Upgrade,Sector Underperform,Sector Perform,DIS
2005-11-22,UBS,Initiated,,Neutral,DIS
2005-11-18,CIBC Wrld Mkts,Downgrade,Sector Perform,Sector Underperform,DIS
2005-10-28,Citigroup,Initiated,,Buy,DIS
2005-10-18,CIBC Wrld Mkts,Initiated,,Sector Perform,DIS
2005-07-13,Hillard Lyons,Upgrade,Long-term Buy,Buy,DIS
2005-03-18,Lehman Brothers,Initiated,,Equal-weight,DIS
2005-01-14,Merrill Lynch,Upgrade,Neutral,Buy,DIS
2004-08-11,Loop Capital,Upgrade,Perform,Outperform,DIS
2004-07-02,Sanders Morris Harris,Upgrade,Hold,Buy,DIS
2004-05-13,AG Edwards,Upgrade,Hold,Buy,DIS
2004-05-11,UBS,Upgrade,Neutral,Buy,DIS
2004-04-29,Bernstein,Upgrade,Mkt Perform,Outperform,DIS
2004-02-11,AG Edwards,Downgrade,Buy,Hold,DIS
2003-12-02,UBS,Initiated,,Neutral,DIS
2003-11-21,Bear Stearns,Upgrade,Underperform,Peer Perform,DIS
2003-09-25,Goldman Sachs,Upgrade,In-Line,Outperform,DIS
2003-07-28,Soundview Technology,Upgrade,Neutral,Outperform,DIS
2003-06-25,Banc of America Sec,Initiated,,Neutral,DIS
2003-06-04,Fulcrum,Initiated,,Sell,DIS
2003-04-11,Fahnestock,Initiated,,Neutral,DIS
2003-03-06,Goldman Sachs,Initiated,,In-Line,DIS
2002-12-12,Thomas Weisel,Initiated,,Mkt Perform,DIS
2002-11-08,Merrill Lynch,Downgrade,Buy,Neutral,DIS
2002-09-03,CSFB,Initiated,,,DIS
2002-08-02,Kaufman Bros,Downgrade,Hold,Sell,DIS
2002-08-02,Goldman Sachs,Downgrade,Trading Buy,Mkt Outperform,DIS
2002-08-02,JP Morgan,Downgrade,Buy,LT Buy,DIS
2002-07-22,AG Edwards,Upgrade,Hold,Buy,DIS
2002-07-10,JP Morgan,Initiated,,Buy,DIS
2002-07-08,Kaufman Bros,Downgrade,Buy,Hold,DIS
2002-04-26,UBS Warburg,Downgrade,Buy,Hold,DIS
2002-04-26,Prudential,Upgrade,Hold,Buy,DIS
2002-04-19,Goldman Sachs,Upgrade,Mkt Perform,Trading Buy,DIS
2002-04-19,CIBC Wrld Mkts,Upgrade,Hold,Buy,DIS
2002-02-25,Kaufman Bros,Downgrade,Strong Buy,Buy,DIS
2002-02-01,Merrill Lynch,Upgrade,NT Neutral,NT Buy,DIS
2002-01-18,CIBC Wrld Mkts,Initiated,,Hold,DIS
2002-01-03,ABN AMRO,Upgrade,Hold,Buy,DIS
2001-11-12,Deutsche Bc Alex. Br,Upgrade,Mkt Perform,Buy,DIS
2001-11-09,Bear Stearns,Downgrade,Attractive,Neutral,DIS
2001-11-06,Goldman Sachs,Downgrade,Mkt Outperform,Mkt Perform,DIS
2001-10-24,Gerard Klauer Mattison,Downgrade,Buy,Outperform,DIS
2001-10-01,Robertson Stephens,Initiated,,Buy,DIS
2001-09-19,CSFB,Downgrade,Strong Buy,Hold,DIS
2001-09-17,First Union Sec,Downgrade,Strong Buy,Buy,DIS
2001-09-05,Banc of America Sec,Initiated,,Buy,DIS
2001-08-16,Kaufman Bros,Initiated,,Strong Buy,DIS
2001-07-02,Prudential,Downgrade,Buy,Hold,DIS
2001-06-27,Goldman Sachs,Downgrade,Recomm List,Mkt Outperform,DIS
2001-05-22,UBS Warburg,Downgrade,Strong Buy,Buy,DIS
2001-05-21,Salomon Smth Brny,Upgrade,Outperform,Buy,DIS
2001-03-07,Lehman Brothers,Initiated,,Buy,DIS
2001-03-02,Mrgn Stnly Dn Wttr,Downgrade,Outperform,Neutral,DIS
2000-11-21,Mrgn Stnly Dn Wttr,Downgrade,Strong Buy,Outperform,DIS
2000-11-10,Credit Lyonnais Sec,Upgrade,Hold,Buy,DIS
2000-11-10,CSFB,Upgrade,Buy,Strong Buy,DIS
2000-11-10,Deutsche Bc Alex. Br,Downgrade,Buy,Mkt Perform,DIS
2000-11-10,Salomon Smth Brny,Downgrade,Buy,Outperform,DIS
2000-11-09,Merrill Lynch,Downgrade,NT Accum,NT Neutral,DIS
2000-09-13,W.R. Hambrecht,Initiated,,Strong Buy,DIS
2000-07-19,PaineWebber,Upgrade,Attractive,Buy,DIS
2000-07-13,SG Cowen,Initiated,,Buy,DIS
2000-06-27,ING Barings,Initiated,,Hold,DIS
2000-06-27,ABN AMRO,Initiated,,Buy,DIS
2000-06-23,AG Edwards,Downgrade,Accumulate,Maintain Position,DIS
2000-06-20,First Union Sec,Initiated,,Buy,DIS
2000-05-16,DLJ,Initiated,,Buy,DIS
2000-05-02,Deutsche Bc Alex. Br,Upgrade,Mkt Perform,Buy,DIS
2000-04-28,Merrill Lynch,Upgrade,LT Accum,LT Buy,DIS
2000-04-19,Banc of America Sec,Initiated,,Buy,DIS
2000-04-19,Sutro & Co,Initiated,,Buy,DIS
2000-03-20,Schroder & Co,Upgrade,Outperform,Outperf. Signif.,DIS
2000-03-10,Warburg Dillon Read,Initiated,,Buy,DIS
2000-03-03,Mrgn Stnly Dn Wttr,Upgrade,Outperform,Strong Buy,DIS
2000-01-25,Goldman Sachs,Upgrade,Market Outperform,Recommended List,DIS
2000-01-25,Merrill Lynch,Upgrade,NT Neutral,NT Accum,DIS
2000-01-25,Prudential,Upgrade,Hold,Accumulate,DIS
2000-01-25,Schroder & Co,Upgrade,Perform-In-Line,Outperform,DIS
2000-01-25,Salomon Smth Brny,Upgrade,Outperform,Buy,DIS
2000-01-11,AG Edwards,Initiated,,Accumulate,DIS
2000-01-04,Mrgn Stnly Dn Wttr,Upgrade,Neutral,Outperform,DIS
1999-11-05,CIBC Wrld Mkts,Downgrade,Buy,Hold,DIS
1999-10-26,Raymond James,Upgrade,Neutral,Accumulate,DIS
1999-07-21,Raymond James,Initiated,,Neutral,DIS
1999-07-01,Mrgn Stnly Dn Wttr,Downgrade,Strong Buy,Neutral,DIS
1999-06-08,CIBC World Markets,Upgrade,Hold,Buy,DIS
1999-04-27,Salomon Smth Brny,Downgrade,Buy,Outperform,DIS
1999-04-27,BT Alex. Brown,Downgrade,Buy,Outperform,DIS
1999-03-12,Deutsche Bank,Upgrade,Accumulate,Buy,DIS
1999-03-12,BT Alex. Brown,Upgrade,Mkt Perform,Buy,DIS
1999-02-25,JP Morgan,Initiated,,Buy,DIS
1999-01-28,Mrgn Stnly Dn Wttr,Upgrade,Outperform,Strong Buy,DIS
1999-01-13,Brown Bros,Upgrade,LT Neutral,LT Buy,DIS
1999-01-13,Brown Bros,Downgrade,ST Buy,ST Neutral,DIS
1999-01-12,Salomon Smth Brny,Upgrade,Neutral,Buy,DIS
1999-01-12,Goldman Sachs,Upgrade,Mkt Perform,Mkt Outperform,DIS
1999-01-11,ING Brng Frmn Selz,Upgrade,Hold,Buy,DIS
1998-10-13,Prudential,Downgrade,Accumulate,Hold,DIS
1998-09-14,Goldman Sachs,Downgrade,Recomm. List,Mkt Performer,DIS
1998-09-14,BT Alex Brown,Downgrade,Buy,Mkt Perform,DIS
1998-09-14,Deutsche Bank,Downgrade,Buy,Accumulate,DIS
1998-09-14,Mrgn Stnly Dn Wttr,Downgrade,Strong Buy,Outperform,DIS
1998-09-14,Salomon Smth Brny,Downgrade,Outperform,Neutral,DIS
1998-08-12,Prudential,Upgrade,Hold,Accumulate,DIS
1998-07-16,Salomon Smth Brny,Downgrade,Buy,Outperform,DIS
1998-06-30,Schroder & Co,Downgrade,Outperform,Perform In Line,DIS
1998-06-22,Brown Bros,Downgrade,LT Buy,LT Neutral,DIS
1998-06-22,NB Montgomery,Downgrade,Buy,Hold,DIS
1998-06-05,Morgn Stnly Dn Wttr,Upgrade,Outperform,Strong Buy,DIS
1998-05-15,Merrill Lynch,Downgrade,ST Accumulate,ST Neutral,DIS
1998-05-14,Schroder & Co,Downgrade,Outperf. Signif,Outperform,DIS
2015-01-22,UBS,Initiated,,Buy,GE
2014-11-25,RBC Capital Mkts,Initiated,,Outperform,GE
2014-09-17,Stifel,Initiated,,Buy,GE
2013-12-02,Standpoint Research,Initiated,,Sell,GE
2012-10-12,Deutsche Bank,Initiated,,Buy,GE
2011-10-14,Barclays Capital,Initiated,,Overweight,GE
2011-01-28,Argus,Upgrade,Hold,Buy,GE
2010-03-17,Sterne Agee,Upgrade,Sell,Neutral,GE
2009-11-06,Bernstein,Upgrade,Mkt Perform,Outperform,GE
2009-11-06,Oppenheimer,Upgrade,Perform,Outperform,GE
2009-09-15,Hilliard Lyons,Downgrade,Buy,Long-term Buy,GE
2009-09-08,JP Morgan,Upgrade,Neutral,Overweight,GE
2009-02-06,Bernstein,Initiated,,Mkt Perform,GE
2008-12-10,UBS,Downgrade,Buy,Neutral,GE
2008-09-26,Argus,Downgrade,Buy,Hold,GE
2008-06-16,JP Morgan,Downgrade,Overweight,Neutral,GE
2008-04-14,Oppenheimer,Downgrade,Outperform,Perform,GE
2008-04-14,Bear Stearns,Downgrade,Outperform,Peer Perform,GE
2008-04-11,Credit Suisse,Downgrade,Outperform,Neutral,GE
2007-06-21,Hilliard Lyons,Downgrade,Buy,Long-term Buy,GE
2007-02-27,UBS,Upgrade,Neutral,Buy,GE
2006-09-14,UBS,Downgrade,Buy,Neutral,GE
2006-03-10,Hilliard Lyons,Upgrade,Long-term Buy,Buy,GE
2005-11-18,Caris & Company,Upgrade,Above Average,Buy,GE
2005-11-15,Deutsche Securities,Initiated,,Buy,GE
2005-01-26,Bear Stearns,Initiated,,Outperform,GE
2004-12-08,Lehman Brothers,Upgrade,Equal-weight,Overweight,GE
2004-09-14,Deutsche Securities,Initiated,,Hold,GE
2004-08-17,CIBC Wrld Mkts,Initiated,,Sector Outperform,GE
2004-06-23,JP Morgan,Upgrade,Neutral,Overweight,GE
2004-05-28,Jefferies & Co,Initiated,,Hold,GE
2004-05-21,CSFB,Initiated,,Outperform,GE
2004-04-29,Banc of America Sec,Initiated,,Buy,GE
2004-02-12,UBS,Initiated,,Buy,GE
2003-11-18,Merrill Lynch,Upgrade,Neutral,Buy,GE
2003-09-05,Goldman Sachs,Initiated,,In-Line,GE
2003-09-03,JP Morgan,Upgrade,Underweight,Neutral,GE
2003-06-13,AG Edwards,Downgrade,Buy,Hold,GE
2002-11-15,JP Morgan,Downgrade,Neutral,Underweight,GE
2002-10-10,Merrill Lynch,Downgrade,Buy,Neutral,GE
2002-09-27,CSFB,Downgrade,Outperform,Neutral,GE
2002-09-27,Lehman Brothers,Downgrade,Overweight,Equal-weight,GE
2002-08-13,Deutsche Securities,Initiated,,Strong Buy,GE
2002-06-25,Morgan Stanley,Initiated,,Equal-weight,GE
2002-04-12,Banc of America Sec,Downgrade,Strong Buy,Buy,GE
2002-01-08,Wachovia Sec,Initiated,,Buy,GE
2001-11-15,AG Edwards,Downgrade,Strong Buy,Buy,GE
2001-09-07,JP Morgan,Initiated,,LT Buy,GE
2001-08-01,ABN AMRO,Initiated,,Buy,GE
2001-07-11,William Blair,Initiated,,LT Buy,GE
2001-01-25,Bear Stearns,Initiated,,Buy,GE
2000-12-08,Mrgn Stnly Dn Wttr,Initiated,,Strong Buy,GE
2000-10-11,Banc of America Sec,Initiated,,Strong Buy,GE
2000-03-23,Lehman Brothers,Upgrade,Outperform,Buy,GE
1999-12-22,Sanford Bernstein,Initiated,,Mkt Perform,GE
1999-09-07,Salomon Smth Brny,Upgrade,Outperform,Buy,GE
1999-06-10,ING Barings,Initiated,,Buy,GE
1998-11-20,Salomon Smth Brny,Downgrade,Buy,Outperform,GE
1998-09-16,Merrill Lynch,Upgrade,NT Accumulate,NT Buy,GE
1998-08-14,CS First Boston,Initiated,,Buy,GE
2014-08-26,MKM Partners,Initiated,,Buy,GS
2013-10-24,Deutsche Bank,Upgrade,Hold,Buy,GS
2012-09-20,UBS,Downgrade,Buy,Neutral,GS
2012-05-21,JMP Securities,Downgrade,Mkt Outperform,Mkt Underperform,GS
2012-03-23,RBC Capital Mkts,Upgrade,Underperform,Sector Perform,GS
2011-09-07,Oppenheimer,Downgrade,Outperform,Perform,GS
2011-06-14,RBC Capital Mkts,Initiated,,Underperform,GS
2011-05-04,UBS,Initiated,,Buy,GS
2011-01-20,Ticonderoga,Downgrade,Buy,Neutral,GS
2009-10-08,Deutsche Securities,Initiated,,Buy,GS
2009-09-09,JMP Securities,Upgrade,Mkt Perform,Mkt Outperform,GS
2009-08-18,Pali Research,Upgrade,Neutral,Buy,GS
2009-07-15,Keefe Bruyette,Upgrade,Mkt Perform,Outperform,GS
2009-06-04,Bernstein,Upgrade,Mkt Perform,Outperform,GS
2009-05-18,JMP Securities,Upgrade,Mkt Underperform,Mkt Perform,GS
2009-04-15,Pali Research,Initiated,,Neutral,GS
2009-04-15,JP Morgan,Downgrade,Overweight,Neutral,GS
2009-04-14,JMP Securities,Initiated,,Mkt Underperform,GS
2009-04-13,Citigroup,Initiated,,Buy,GS
2009-03-27,FBR Capital Markets,Initiated,,Outperform,GS
2009-03-25,Rochdale Securities,Initiated,,Hold,GS
2008-11-25,Sterne Agee,Initiated,,Buy,GS
2008-09-17,Wachovia,Upgrade,Mkt Perform,Outperform,GS
2008-06-26,Wachovia,Downgrade,Outperform,Mkt Perform,GS
2008-05-22,Ladenburg Thalmann,Downgrade,Neutral,Sell,GS
2008-03-18,Wachovia,Upgrade,Mkt Perform,Outperform,GS
2008-03-17,UBS,Downgrade,Buy,Neutral,GS
2008-02-14,Sandler O'Neill,Downgrade,Buy,Hold,GS
2008-02-05,Oppenheimer,Downgrade,Outperform,Perform,GS
2008-02-04,"Punk, Ziegel & Co",Upgrade,Sell,Mkt Perform,GS
2007-12-04,"Punk, Ziegel & Co",Downgrade,Mkt Perform,Sell,GS
2007-11-12,"Punk, Ziegel & Co",Upgrade,Sell,Mkt Perform,GS
2007-11-08,Wachovia,Downgrade,Outperform,Mkt Perform,GS
2007-07-18,"Punk, Ziegel & Co",Downgrade,Mkt Perform,Sell,GS
2007-04-12,Deutsche Securities,Initiated,,Buy,GS
2007-03-28,Lehman Brothers,Initiated,,Equal-weight,GS
2007-03-05,"Punk, Ziegel & Co",Downgrade,Accumulate,Mkt Perform,GS
2006-12-19,Rochdale Securities,Downgrade,Buy,Hold,GS
2006-08-29,"Punk, Ziegel & Co",Downgrade,Buy,Mkt Perform,GS
2006-07-12,Rochdale Securities,Upgrade,Hold,Buy,GS
2006-06-14,Sandler ONeill,Upgrade,Hold,Buy,GS
2006-05-26,UBS,Upgrade,Neutral,Buy,GS
2006-03-01,CIBC Wrld Mkts,Initiated,,Sector Outperform,GS
2005-12-16,Bernstein,Downgrade,Outperform,Mkt Perform,GS
2005-12-08,Sandler O'Neill,Downgrade,Buy,Hold,GS
2005-09-21,Citigroup,Downgrade,Buy,Hold,GS
2005-07-27,Prudential,Initiated,,Overweight,GS
2005-06-17,Wachovia,Downgrade,Outperform,Mkt Perform,GS
2005-05-02,Morgan Stanley,Downgrade,Overweight,Equal-weight,GS
2005-05-02,UBS,Downgrade,Buy,Neutral,GS
2005-02-09,CIBC Wrld Mkts,Initiated,,Sector Outperform,GS
2004-12-10,Marquis Investment Research,Initiated,,Buy,GS
2004-12-02,Morgan Stanley,Initiated,,Overweight,GS
2004-11-15,Bear Stearns,Initiated,,Outperform,GS
2004-06-23,Wachovia,Upgrade,Mkt Perform,Outperform,GS
2004-05-13,UBS,Upgrade,Neutral,Buy,GS
2004-03-24,William Blair,Upgrade,Mkt Perform,Outperform,GS
2004-03-23,Keefe Bruyette,Upgrade,Mkt Perform,Outperform,GS
2004-02-11,Smith Barney Citigroup,Upgrade,Hold,Buy,GS
2003-11-25,JP Morgan,Upgrade,Neutral,Overweight,GS
2003-10-29,Deutsche Securities,Upgrade,Hold,Buy,GS
2003-09-11,Banc of America Sec,Initiated,,Neutral,GS
2003-09-10,Deutsche Securities,Initiated,,Hold,GS
2003-04-11,UBS Warburg,Initiated,,Neutral,GS
2002-11-25,Keefe Bruyette,Downgrade,Outperform,Mkt Perform,GS
2002-10-30,Wachovia Sec,Downgrade,Buy,Hold,GS
2002-10-22,Merrill Lynch,Downgrade,Buy,Neutral,GS
2002-10-16,Jefferies & Co,Initiated,,Hold,GS
2002-08-22,Deutsche Securities,Initiated,,Mkt Perform,GS
2002-08-21,Salomon Smth Brny,Downgrade,Buy,Neutral,GS
2002-05-02,Salomon Smth Brny,Upgrade,Neutral,Buy,GS
2002-04-26,Merrill Lynch,Upgrade,NT Neutral,NT Buy,GS
2002-03-19,Banc of America Sec,Initiated,,Buy,GS
2002-03-08,Salomon Smth Brny,Downgrade,Buy,Neutral,GS
2002-01-28,Robertson Stephens,Initiated,,Buy,GS
2002-01-04,Prudential,Upgrade,Hold,Buy,GS
2001-11-15,UBS Warburg,Downgrade,Buy,Hold,GS
2001-10-11,Prudential,Initiated,,Hold,GS
2001-10-01,ABN AMRO,Initiated,,Add,GS
2001-09-26,Merrill Lynch,Downgrade,NT Accum,NT Neutral,GS
2001-09-20,Morgan Stanley,Upgrade,Neutral,Outperform,GS
2001-09-11,First Union Sec,Downgrade,Strong Buy,Mkt Perform,GS
2001-09-11,Lehman Brothers,Upgrade,Buy,Strong Buy,GS
2001-09-05,UBS Warburg,Upgrade,Hold,Buy,GS
2001-04-19,UBS Warburg,Downgrade,Buy,Hold,GS
2001-04-05,UBS Warburg,Initiated,,Buy,GS
2001-03-21,Keefe Bruyette,Downgrade,Buy,Mkt Perform,GS
2001-03-19,Dresdner Klnwrt Wass,Downgrade,Add,Hold,GS
2001-03-19,Lehman Brothers,Upgrade,Mkt Perform,Buy,GS
2001-03-16,Merrill Lynch,Upgrade,NT Neutral,NT Accum,GS
2001-03-01,JP Morgan,Downgrade,Buy,Mkt Perform,GS
2000-12-20,Wasserstein Perella,Upgrade,Hold,Buy,GS
2000-11-13,Wasserstein Perella,Downgrade,Buy,Hold,GS
2000-11-01,First Union Sec,Initiated,,Strong Buy,GS
2000-10-25,AG Edwards,Initiated,,Maintain Position,GS
2000-10-18,Deutsche Bc Alex. Br,Downgrade,Buy,Mkt Perform,GS
2000-10-13,CSFB,Initiated,,Strong Buy,GS
2000-09-15,William Blair,Initiated,,LT Buy,GS
2000-08-04,JP Morgan,Upgrade,Mkt Perform,Buy,GS
2000-07-06,Wasserstein Perella,Initiated,,Buy,GS
2000-06-13,Deutsche Bc Alex. Br,Initiated,,Buy,GS
2000-05-02,Lehman Brothers,Initiated,,Neutral,GS
2000-02-18,Salomon Smth Brny,Upgrade,Neutral,Buy,GS
2000-01-05,JP Morgan,Downgrade,LT Buy,Mkt Perform,GS
1999-11-03,PaineWebber,Downgrade,Attractive,Neutral,GS
1999-10-27,JP Morgan,Initiated,,LT Buy,GS
1999-10-06,Sanford Bernstein,Initiated,,Mkt Perform,GS
1999-08-10,Bear Stearns,Upgrade,Neutral,Attractive,GS
1999-06-17,Schroder & Co,Initiated,,Perform In Line,GS
1999-06-04,DLJ,Initiated,,Buy,GS
1999-06-02,Prudential,Initiated,,Hold,GS
1999-06-01,Salomon Smth Brny,Initiated,,Neutral,GS
1999-06-01,Paine Webber,Initiated,,Attractive,GS
1999-06-01,Mrgn Stnly Dn Wttr,Initiated,,Neutral,GS
1999-06-01,Bear Stearns,Initiated,,Neutral,GS
1999-05-28,Merrill Lynch,Initiated,,NT Neut/LT Buy,GS
2013-12-02,Standpoint Research,Initiated,,Sell,HD
2013-02-22,Oppenheimer,Upgrade,Perform,Outperform,HD
2013-02-21,Stifel Nicolaus,Downgrade,Buy,Hold,HD
2012-10-10,Oppenheimer,Downgrade,Outperform,Perform,HD
2011-12-20,Collins Stewart,Initiated,,Neutral,HD
2011-11-07,RBC Capital Mkts,Upgrade,Sector Perform,Outperform,HD
2010-12-09,FBR Capital,Upgrade,Mkt Perform,Outperform,HD
2010-10-25,FBR Capital,Downgrade,Outperform,Mkt Perform,HD
2010-05-26,Longbow,Upgrade,Neutral,Buy,HD
2010-02-17,Oppenheimer,Upgrade,Perform,Outperform,HD
2009-11-03,UBS,Initiated,,Buy,HD
2009-08-13,FBR Capital,Upgrade,Mkt Perform,Outperform,HD
2009-06-08,Longbow,Initiated,,Neutral,HD
2009-05-20,FBR Capital Markets,Downgrade,Outperform,Mkt Perform,HD
2009-05-13,Citigroup,Upgrade,Hold,Buy,HD
2009-05-11,Bernstein,Downgrade,Outperform,Mkt Perform,HD
2008-10-15,Credit Suisse,Upgrade,Neutral,Outperform,HD
2008-10-07,RBC Capital Mkts,Initiated,,Sector Perform,HD
2008-09-15,Credit Suisse,Downgrade,Outperform,Neutral,HD
2008-09-15,Cowen & Co,Initiated,,Neutral,HD
2008-09-05,Friedman Billings,Initiated,,Outperform,HD
2008-09-03,Jesup & Lamont,Initiated,,Hold,HD
2008-07-21,Rochdale Securities,Initiated,,Buy,HD
2008-04-25,Lehman Brothers,Initiated,,Overweight,HD
2008-03-19,Morgan Keegan,Downgrade,Mkt Perform,Underperform,HD
2008-01-29,Morgan Keegan,Initiated,,Mkt Perform,HD
2008-01-24,Jefferies & Co,Initiated,,Hold,HD
2008-01-14,Credit Suisse,Upgrade,Neutral,Outperform,HD
2007-11-05,Deutsche Securities,Downgrade,Buy,Hold,HD
2007-11-02,BMO Capital Markets,Initiated,,Underperform,HD
2007-08-17,UBS,Upgrade,Sell,Neutral,HD
2007-06-21,Piper Jaffray,Downgrade,Outperform,Market Perform,HD
2007-06-20,Stifel Nicolaus,Upgrade,Hold,Buy,HD
2007-01-29,AG Edwards,Upgrade,Hold,Buy,HD
2006-11-15,JP Morgan,Upgrade,Underweight,Overweight,HD
2006-11-06,UBS,Downgrade,Neutral,Reduce,HD
2006-10-16,Goldman Sachs,Downgrade,Buy,Neutral,HD
2006-10-13,Prudential,Initiated,,Underweight,HD
2006-09-19,Wachovia,Initiated,,Mkt Perform,HD
2006-09-18,Credit Suisse,Downgrade,Outperform,Neutral,HD
2005-11-09,Piper Jaffray,Upgrade,Market Perform,Outperform,HD
2005-10-20,Bear Stearns,Upgrade,Peer Perform,Outperform,HD
2005-09-23,UBS,Initiated,,Neutral,HD
2005-09-14,Banc of America Sec,Initiated,,Buy,HD
2005-07-12,Jefferies & Co,Upgrade,Hold,Buy,HD
2005-06-30,Lehman Brothers,Upgrade,Equal-weight,Overweight,HD
2005-06-23,CSFB,Initiated,,Outperform,HD
2005-05-17,Deutsche Securities,Upgrade,Hold,Buy,HD
2004-08-13,Fulcrum,Initiated,,Neutral,HD
2004-07-01,JP Morgan,Initiated,,Underweight,HD
2004-06-02,Banc of America Sec,Downgrade,Buy,Neutral,HD
2004-02-25,Goldman Sachs,Upgrade,In-Line,Outperform,HD
2003-09-09,Goldman Sachs,Downgrade,Outperform,In-Line,HD
2003-07-17,AG Edwards,Upgrade,Hold,Buy,HD
2003-07-11,Banc of America Sec,Upgrade,Neutral,Buy,HD
2003-05-20,CIBC Wrld Mkts,Upgrade,Sector Perform,Sector Outperform,HD
2003-05-06,Goldman Sachs,Upgrade,In-Line,Outperform,HD
2003-03-13,Legg Mason,Initiated,,Hold,HD
2003-01-03,Deutsche Securities,Downgrade,Hold,Sell,HD
2003-01-03,Bear Stearns,Downgrade,Outperform,Peer Perform,HD
2002-12-17,HC Wainwright,Initiated,,Mkt Perform,HD
2002-11-19,Deutsche Securities,Downgrade,Buy,Hold,HD
2002-08-12,Banc of America Sec,Initiated,,Mkt Perform,HD
2002-07-12,Merrill Lynch,Downgrade,NT Strong Buy/LT Strong Buy,NT Neutral/LT Buy,HD
2002-05-28,UBS Warburg,Downgrade,Buy,Hold,HD
2002-05-24,Legg Mason,Initiated,,Buy,HD
2002-05-22,Jefferies & Co,Downgrade,Accumulate,Hold,HD
2002-05-21,AG Edwards,Downgrade,Buy,Hold,HD
2002-05-14,Fulcrum,Initiated,,Trading Buy,HD
2002-03-04,UBS Warburg,Downgrade,Strong Buy,Buy,HD
2002-01-17,Jefferies & Co,Downgrade,Buy,Accumulate,HD
2001-11-15,Salomon Smth Brny,Initiated,,Buy,HD
2001-11-13,Jefferies & Co,Upgrade,Hold,Accumulate,HD
2001-09-17,Raymond James,Upgrade,Mkt Perform,Strong Buy,HD
2001-08-15,Prudential,Upgrade,Hold,Buy,HD
2001-07-10,Lehman Brothers,Upgrade,Buy,Strong Buy,HD
2001-03-26,Salomon Smth Brny,Upgrade,Outperform,Buy,HD
2001-02-23,Buckingham Research Group,Initiated,,Accumulate,HD
2001-01-30,AG Edwards,Upgrade,Maintain Position,Accumulate,HD
2001-01-17,Prudential,Downgrade,Strong Buy,Hold,HD
2000-12-22,Spencer Clarke,Upgrade,Hold,Buy,HD
2000-12-06,UBS Warburg,Upgrade,Buy,Strong Buy,HD
2000-12-06,Goldman Sachs,Upgrade,Mkt Outperform,Recomm List,HD
2000-10-16,CSFB,Initiated,,Buy,HD
2000-10-13,Banc of America Sec,Downgrade,Buy,Market Perform,HD
2000-10-12,Wachovia Sec,Downgrade,Long Term Buy,Neutral,HD
2000-10-12,Raymond James,Downgrade,Strong Buy,Mkt Perform,HD
2000-10-06,Spencer Clarke,Downgrade,Outperform,Hold,HD
2000-10-04,Jefferies & Co,Initiated,,Accumulate,HD
2000-09-14,Bear Stearns,Initiated,,Buy,HD
2000-09-06,JP Morgan,Initiated,,Buy,HD
2000-08-16,Salomon Smth Brny,Downgrade,Buy,Outperform,HD
2000-08-15,DLJ,Downgrade,Top Pick,Buy,HD
2000-08-15,Banc of America Sec,Downgrade,Strong Buy,Buy,HD
2000-07-10,Prudential,Upgrade,Accumulate,Strong Buy,HD
2000-06-14,Wachovia Sec,Initiated,,Long Term Buy,HD
2000-06-08,ING Barings,Downgrade,Buy,Hold,HD
2000-05-30,Raymond James,Upgrade,Buy,Strong Buy,HD
2000-05-25,Prudential,Upgrade,Hold,Accumulate,HD
2000-04-13,CIBC Wrld Mkts,Initiated,,Buy,HD
2000-03-28,Lehman Brothers,Initiated,,Outperform,HD
2000-03-07,CSFB,Upgrade,Buy,Strong Buy,HD
1999-12-03,Hambrecht & Quist,Initiated,,Buy,HD
1999-11-12,Robinson Humphrey,Initiated,,ST Mkt Perform/LT Buy,HD
1999-10-29,ING Barings,Initiated,,Buy,HD
1999-09-14,Deutsche Bc Alex. Br,Initiated,,Strong Buy,HD
1999-08-17,Robinson Humphrey,Initiated,,ST Buy,HD
1999-08-12,ABN AMRO,Upgrade,Hold,Buy,HD
1999-06-02,CSFB,Initiated,,Buy,HD
1999-05-25,USB Piper Jaffray,Initiated,,Buy,HD
1999-05-11,PaineWebber,Upgrade,Neutral,Attractive,HD
1999-05-05,Schroder & Co,Upgrade,Perform In Line,Outperform,HD
1999-04-29,Prudential,Downgrade,Accumulate,Hold,HD
1999-02-08,BB Rbrtsn Stphns,Initiated,,Buy,HD
1998-12-17,Prudential,Downgrade,Strong Buy,Accumulate,HD
1998-12-08,NB Montgomery,Initiated,,Buy,HD
1998-11-13,Schroder & Co,Initiated,,Perform In Line,HD
1998-11-10,Salomon Smth Brny,Upgrade,Outperform,Buy,HD
1998-09-15,Prudential,Upgrade,Hold,Strong Buy,HD
1998-07-14,Spencer Clarke,Initiated,,Buy,HD
1998-07-10,Raymond James,Downgrade,Buy,Accumulate,HD
2014-04-10,Deutsche Bank,Initiated,,Hold,IBM
