,Date,symbol,Negative,Positive,CloseClass
1767,2006-11-06,IBM,0.0,0.0,Gain
1786,2006-12-18,IBM,0.0,0.0,Gain
1794,2007-01-08,IBM,0.0,1.0,Gain
1796,2007-01-10,IBM,1.0,0.0,Loss
1840,2007-04-16,IBM,0.0,1.0,Gain
1843,2007-04-18,IBM,2.0,0.0,Loss
1847,2007-04-23,IBM,0.0,1.0,Gain
1896,2007-08-02,IBM,0.0,0.0,Gain
1898,2007-08-06,IBM,0.0,1.0,Gain
1917,2007-10-04,IBM,0.0,0.0,Loss
1927,2007-10-16,IBM,0.0,1.0,Gain
1970,2008-01-07,IBM,1.0,0.0,Loss
2038,2008-04-17,IBM,0.0,1.0,Gain
2042,2008-04-22,IBM,0.0,1.0,Loss
2052,2008-05-23,IBM,0.0,1.0,Loss
2093,2008-08-08,IBM,0.0,0.0,Loss
2110,2008-09-23,IBM,1.0,0.0,Loss
2115,2008-10-07,IBM,1.0,0.0,Loss
2163,2008-12-18,IBM,0.0,0.0,Loss
2195,2009-02-13,IBM,0.0,1.0,Loss
2229,2009-04-06,IBM,1.0,0.0,Loss
2286,2009-07-09,IBM,0.0,0.0,Gain
2388,2010-01-20,IBM,0.0,1.0,Loss
2426,2010-04-16,IBM,0.0,1.0,Loss
2454,2010-07-15,IBM,0.0,0.0,Neutral
2521,2011-04-11,IBM,1.0,0.0,Loss
2556,2011-10-14,IBM,0.0,1.0,Gain
2586,2012-02-07,IBM,0.0,1.0,Gain
2604,2012-04-18,IBM,1.0,0.0,Loss
2628,2012-07-11,IBM,0.0,0.0,Loss
2637,2012-09-04,IBM,0.0,1.0,Loss
2696,2013-04-10,IBM,0.0,1.0,Gain
2730,2013-10-07,IBM,1.0,0.0,Loss
2732,2013-10-17,IBM,1.0,0.0,Loss
2777,2014-04-10,IBM,0.0,0.0,Loss
7,2000-01-06,INTC,1.0,0.0,Loss
10,2000-01-10,INTC,0.0,1.0,Gain
14,2000-01-11,INTC,0.0,1.0,Gain
58,2000-03-13,INTC,0.0,1.0,Gain
66,2000-03-21,INTC,0.0,1.0,Gain
71,2000-03-27,INTC,0.0,1.0,Gain
83,2000-04-13,INTC,0.0,1.0,Loss
86,2000-04-17,INTC,0.0,1.0,Gain
90,2000-04-18,INTC,0.0,1.0,Gain
97,2000-04-19,INTC,1.0,0.0,Loss
110,2000-05-03,INTC,1.0,0.0,Loss
126,2000-05-30,INTC,0.0,1.0,Gain
129,2000-06-07,INTC,1.0,0.0,Loss
167,2000-07-19,INTC,0.0,1.0,Loss
192,2000-09-05,INTC,1.0,0.0,Loss
203,2000-09-13,INTC,1.0,0.0,Loss
207,2000-09-14,INTC,0.0,1.0,Loss
212,2000-09-19,INTC,0.0,1.0,Gain
215,2000-09-22,INTC,9.0,0.0,Loss
245,2000-10-18,INTC,2.0,2.0,Gain
264,2000-11-10,INTC,1.0,0.0,Loss
268,2000-11-20,INTC,1.0,0.0,Loss
278,2000-11-30,INTC,2.0,0.0,Loss
287,2000-12-08,INTC,2.0,2.0,Gain
314,2001-01-17,INTC,1.0,0.0,Loss
340,2001-02-13,INTC,1.0,0.0,Loss
356,2001-03-09,INTC,1.0,0.0,Loss
365,2001-03-16,INTC,0.0,1.0,Loss
377,2001-03-28,INTC,0.0,0.0,Loss
390,2001-04-11,INTC,0.0,1.0,Gain
393,2001-04-17,INTC,1.0,0.0,Loss
395,2001-04-18,INTC,0.0,6.0,Gain
403,2001-04-23,INTC,1.0,0.0,Loss
433,2001-05-30,INTC,0.0,0.0,Loss
466,2001-07-17,INTC,1.0,0.0,Gain
528,2001-10-02,INTC,0.0,1.0,Loss
546,2001-10-17,INTC,0.0,2.0,Loss
559,2001-11-02,INTC,0.0,1.0,Gain
575,2001-11-16,INTC,1.0,0.0,Loss
619,2002-01-16,INTC,0.0,1.0,Loss
639,2002-01-31,INTC,0.0,1.0,Gain
652,2002-02-20,INTC,0.0,0.0,Gain
663,2002-03-05,INTC,0.0,1.0,Gain
728,2002-04-30,INTC,0.0,1.0,Gain
735,2002-05-14,INTC,0.0,1.0,Gain
745,2002-05-29,INTC,0.0,1.0,Loss
747,2002-06-06,INTC,1.0,0.0,Loss
748,2002-06-07,INTC,2.0,0.0,Loss
750,2002-06-10,INTC,0.0,1.0,Loss
758,2002-06-24,INTC,0.0,1.0,Gain
821,2002-09-06,INTC,0.0,1.0,Gain
837,2002-09-27,INTC,0.0,0.0,Loss
840,2002-10-02,INTC,0.0,1.0,Loss
849,2002-10-11,INTC,0.0,1.0,Gain
853,2002-10-16,INTC,4.0,0.0,Loss
874,2002-11-05,INTC,0.0,1.0,Loss
884,2002-11-15,INTC,1.0,0.0,Loss
896,2002-11-25,INTC,1.0,0.0,Gain
902,2002-12-02,INTC,0.0,1.0,Gain
913,2002-12-13,INTC,1.0,1.0,Loss
927,2003-01-15,INTC,0.0,1.0,Loss
949,2003-02-19,INTC,0.0,1.0,Gain
950,2003-02-20,INTC,0.0,1.0,Gain
963,2003-03-25,INTC,0.0,0.0,Gain
981,2003-04-16,INTC,1.0,0.0,Gain
987,2003-04-23,INTC,0.0,0.0,Gain
1017,2003-05-23,INTC,0.0,1.0,Gain
1025,2003-06-06,INTC,0.0,1.0,Loss
1033,2003-06-13,INTC,1.0,0.0,Loss
1042,2003-06-30,INTC,0.0,1.0,Gain
1051,2003-07-11,INTC,0.0,1.0,Gain
1052,2003-07-14,INTC,0.0,1.0,Gain
1056,2003-07-16,INTC,0.0,2.0,Gain
1076,2003-08-20,INTC,0.0,1.0,Loss
1082,2003-09-02,INTC,0.0,1.0,Gain
1108,2003-09-26,INTC,0.0,1.0,Loss
1111,2003-09-30,INTC,0.0,1.0,Loss
1117,2003-10-10,INTC,0.0,1.0,Gain
1133,2003-11-10,INTC,0.0,1.0,Loss
1153,2003-12-11,INTC,0.0,1.0,Gain
1157,2003-12-17,INTC,0.0,1.0,Loss
1168,2004-01-07,INTC,0.0,1.0,Gain
1176,2004-01-13,INTC,0.0,1.0,Loss
1203,2004-03-01,INTC,1.0,0.0,Gain
1211,2004-03-12,INTC,0.0,1.0,Gain
1217,2004-03-17,INTC,0.0,0.0,Gain
1226,2004-04-02,INTC,0.0,1.0,Gain
1228,2004-04-12,INTC,0.0,2.0,Gain
1236,2004-04-26,INTC,0.0,1.0,Loss
1280,2004-07-02,INTC,1.0,0.0,Loss
1283,2004-07-12,INTC,1.0,0.0,Loss
1285,2004-07-14,INTC,3.0,0.0,Loss
1306,2004-08-19,INTC,0.0,0.0,Loss
1309,2004-08-31,INTC,1.0,0.0,Loss
1313,2004-09-07,INTC,1.0,0.0,Loss
1347,2004-11-12,INTC,1.0,0.0,Gain
1350,2004-11-15,INTC,1.0,0.0,Gain
1351,2004-11-16,INTC,1.0,0.0,Gain
1353,2004-11-17,INTC,0.0,1.0,Gain
1357,2004-11-23,INTC,1.0,0.0,Loss
1362,2004-12-03,INTC,0.0,1.0,Gain
1363,2004-12-06,INTC,1.0,0.0,Gain
1381,2004-12-21,INTC,0.0,1.0,Gain
1387,2005-01-12,INTC,0.0,2.0,Gain
1404,2005-02-01,INTC,0.0,1.0,Gain
1419,2005-03-01,INTC,0.0,2.0,Gain
1433,2005-03-18,INTC,0.0,1.0,Neutral
1450,2005-04-18,INTC,0.0,1.0,Gain
1458,2005-04-29,INTC,0.0,1.0,Gain
1481,2005-06-29,INTC,0.0,1.0,Loss
1492,2005-07-20,INTC,2.0,0.0,Loss
1499,2005-08-10,INTC,0.0,1.0,Loss
1500,2005-08-11,INTC,1.0,0.0,Loss
1501,2005-08-12,INTC,1.0,0.0,Loss
1509,2005-08-25,INTC,1.0,0.0,Loss
1521,2005-09-16,INTC,0.0,1.0,Gain
1541,2005-10-12,INTC,1.0,0.0,Loss
1545,2005-10-18,INTC,0.0,1.0,Gain
1546,2005-10-19,INTC,0.0,1.0,Loss
1559,2005-11-08,INTC,0.0,1.0,Gain
1577,2005-12-06,INTC,0.0,0.0,Loss
1613,2006-01-18,INTC,8.0,0.0,Loss
1615,2006-01-23,INTC,1.0,0.0,Loss
1638,2006-02-24,INTC,1.0,0.0,Gain
1639,2006-02-27,INTC,0.0,1.0,Gain
1642,2006-03-03,INTC,1.0,0.0,Loss
1644,2006-03-06,INTC,0.0,2.0,Loss
1647,2006-03-07,INTC,1.0,0.0,Loss
1653,2006-03-27,INTC,0.0,1.0,Gain
1658,2006-04-27,INTC,0.0,1.0,Gain
1662,2006-05-08,INTC,0.0,2.0,Gain
1675,2006-06-12,INTC,0.0,1.0,Loss
1679,2006-06-14,INTC,0.0,1.0,Gain
1680,2006-06-16,INTC,0.0,1.0,Gain
1681,2006-06-19,INTC,0.0,1.0,Loss
1694,2006-07-18,INTC,0.0,1.0,Gain
1714,2006-08-09,INTC,1.0,0.0,Gain
1720,2006-08-16,INTC,0.0,1.0,Gain
1722,2006-08-28,INTC,0.0,1.0,Gain
1732,2006-09-18,INTC,1.0,0.0,Gain
1745,2006-10-06,INTC,0.0,1.0,Loss
1750,2006-10-12,INTC,0.0,1.0,Gain
1754,2006-10-17,INTC,1.0,0.0,Loss
1760,2006-10-20,INTC,0.0,0.0,Gain
1768,2006-11-06,INTC,1.0,0.0,Gain
1770,2006-11-08,INTC,1.0,0.0,Loss
1787,2006-12-18,INTC,0.0,1.0,Loss
1791,2007-01-05,INTC,1.0,0.0,Loss
1803,2007-01-24,INTC,1.0,0.0,Gain
1844,2007-04-18,INTC,0.0,2.0,Gain
1845,2007-04-19,INTC,0.0,1.0,Gain
1860,2007-05-14,INTC,0.0,1.0,Loss
1866,2007-06-01,INTC,0.0,1.0,Gain
1879,2007-06-28,INTC,0.0,1.0,Gain
1886,2007-07-18,INTC,1.0,0.0,Loss
1889,2007-07-19,INTC,0.0,1.0,Gain
1903,2007-08-16,INTC,0.0,1.0,Loss
1909,2007-09-10,INTC,0.0,1.0,Loss
1918,2007-10-04,INTC,0.0,1.0,Loss
1951,2007-11-21,INTC,0.0,0.0,Loss
1966,2008-01-02,INTC,1.0,0.0,Loss
1968,2008-01-04,INTC,1.0,0.0,Loss
1979,2008-01-17,INTC,1.0,0.0,Loss
2028,2008-03-28,INTC,0.0,0.0,Loss
2031,2008-04-09,INTC,0.0,1.0,Gain
2032,2008-04-10,INTC,0.0,1.0,Gain
2101,2008-09-04,INTC,0.0,1.0,Loss
2105,2008-09-12,INTC,1.0,0.0,Loss
2133,2008-11-10,INTC,0.0,1.0,Loss
2135,2008-11-13,INTC,1.0,0.0,Gain
2164,2008-12-18,INTC,1.0,0.0,Loss
2169,2009-01-08,INTC,1.0,0.0,Gain
2173,2009-01-14,INTC,1.0,0.0,Loss
2208,2009-03-12,INTC,0.0,1.0,Gain
2213,2009-03-16,INTC,0.0,1.0,Loss
2215,2009-03-18,INTC,0.0,1.0,Gain
2243,2009-04-15,INTC,1.0,0.0,Loss
2292,2009-07-22,INTC,0.0,1.0,Gain
2316,2009-09-11,INTC,0.0,1.0,Loss
2335,2009-10-02,INTC,0.0,1.0,Gain
2350,2009-10-27,INTC,0.0,1.0,Loss
2353,2009-10-28,INTC,1.0,0.0,Loss
2361,2009-11-20,INTC,0.0,1.0,Loss
2368,2009-12-17,INTC,0.0,1.0,Loss
2375,2010-01-04,INTC,0.0,1.0,Gain
2380,2010-01-11,INTC,0.0,1.0,Gain
2385,2010-01-15,INTC,0.0,1.0,Loss
2405,2010-02-25,INTC,0.0,1.0,Loss
2424,2010-04-13,INTC,0.0,1.0,Gain
2433,2010-04-27,INTC,0.0,1.0,Loss
2461,2010-08-10,INTC,1.0,0.0,Loss
2464,2010-08-30,INTC,1.0,0.0,Loss
2466,2010-09-08,INTC,1.0,0.0,Loss
2468,2010-09-09,INTC,0.0,1.0,Gain
2485,2010-11-08,INTC,0.0,1.0,Loss
2490,2010-12-07,INTC,1.0,0.0,Loss
2512,2011-02-25,INTC,0.0,1.0,Gain
2514,2011-03-04,INTC,0.0,1.0,Loss
2522,2011-04-11,INTC,0.0,1.0,Gain
2524,2011-04-20,INTC,0.0,1.0,Gain
2535,2011-08-08,INTC,0.0,1.0,Loss
2551,2011-10-12,INTC,0.0,1.0,Gain
2552,2011-10-13,INTC,1.0,0.0,Gain
2572,2012-01-03,INTC,1.0,0.0,Gain
2573,2012-01-06,INTC,1.0,0.0,Loss
2578,2012-01-20,INTC,1.0,0.0,Gain
2585,2012-02-06,INTC,0.0,1.0,Loss
2592,2012-03-12,INTC,0.0,0.0,Loss
2623,2012-06-27,INTC,0.0,0.0,Gain
2642,2012-09-17,INTC,1.0,0.0,Loss
2643,2012-09-18,INTC,1.0,0.0,Gain
2647,2012-09-26,INTC,1.0,0.0,Gain
2660,2012-11-16,INTC,0.0,1.0,Gain
2697,2013-04-11,INTC,1.0,0.0,Loss
2705,2013-05-06,INTC,0.0,1.0,Loss
2710,2013-06-03,INTC,0.0,1.0,Gain
2718,2013-07-08,INTC,1.0,0.0,Loss
2724,2013-08-30,INTC,0.0,1.0,Loss
2739,2013-11-12,INTC,1.0,0.0,Gain
2742,2013-11-19,INTC,0.0,1.0,Gain
2746,2013-11-27,INTC,1.0,0.0,Gain
2774,2014-04-07,INTC,0.0,1.0,Gain
2791,2014-07-15,INTC,0.0,1.0,Gain
2792,2014-07-16,INTC,0.0,1.0,Gain
2804,2014-10-08,INTC,0.0,0.0,Gain
2826,2015-01-05,INTC,0.0,1.0,Loss
2828,2015-01-16,INTC,1.0,0.0,Gain
25,2000-01-26,JNJ,0.0,1.0,Loss
40,2000-02-16,JNJ,0.0,1.0,Gain
44,2000-02-29,JNJ,0.0,1.0,Loss
60,2000-03-14,JNJ,0.0,1.0,Gain
69,2000-03-24,JNJ,4.0,0.0,Loss
87,2000-04-17,JNJ,0.0,2.0,Gain
91,2000-04-18,JNJ,0.0,1.0,Gain
143,2000-06-26,JNJ,0.0,1.0,Gain
216,2000-09-22,JNJ,0.0,1.0,Gain
246,2000-10-18,JNJ,1.0,0.0,Loss
261,2000-11-09,JNJ,0.0,0.0,Loss
266,2000-11-13,JNJ,0.0,1.0,Loss
324,2001-01-23,JNJ,0.0,1.0,Loss
326,2001-01-24,JNJ,1.0,0.0,Loss
339,2001-02-12,JNJ,0.0,1.0,Gain
366,2001-03-16,JNJ,0.0,1.0,Loss
376,2001-03-27,JNJ,0.0,1.0,Loss
378,2001-03-28,JNJ,0.0,1.0,Gain
396,2001-04-18,JNJ,0.0,1.0,Loss
420,2001-05-18,JNJ,0.0,1.0,Gain
467,2001-07-18,JNJ,1.0,0.0,Loss
485,2001-08-17,JNJ,0.0,1.0,Loss
529,2001-10-02,JNJ,1.0,0.0,Loss
547,2001-10-17,JNJ,0.0,1.0,Gain
563,2001-11-07,JNJ,0.0,1.0,Loss
583,2001-11-29,JNJ,1.0,0.0,Loss
655,2002-02-25,JNJ,0.0,1.0,Gain
657,2002-02-26,JNJ,0.0,1.0,Gain
694,2002-04-08,JNJ,1.0,0.0,Gain
697,2002-04-09,JNJ,1.0,0.0,Loss
765,2002-07-02,JNJ,0.0,1.0,Gain
768,2002-07-09,JNJ,1.0,0.0,Loss
776,2002-07-16,JNJ,0.0,1.0,Gain
785,2002-07-19,JNJ,1.0,0.0,Loss
813,2002-08-22,JNJ,0.0,1.0,Gain
824,2002-09-12,JNJ,1.0,0.0,Loss
845,2002-10-09,JNJ,1.0,0.0,Loss
863,2002-10-23,JNJ,1.0,0.0,Loss
924,2003-01-13,JNJ,1.0,0.0,Loss
945,2003-02-14,JNJ,0.0,1.0,Gain
969,2003-04-02,JNJ,1.0,1.0,Loss
970,2003-04-03,JNJ,1.0,0.0,Loss
1002,2003-05-09,JNJ,1.0,0.0,Loss
1011,2003-05-20,JNJ,1.0,0.0,Loss
1016,2003-05-22,JNJ,0.0,0.0,Loss
1026,2003-06-06,JNJ,0.0,2.0,Gain
1053,2003-07-14,JNJ,0.0,1.0,Gain
1057,2003-07-16,JNJ,2.0,1.0,Gain
1066,2003-08-01,JNJ,1.0,0.0,Loss
1179,2004-01-16,JNJ,1.0,0.0,Loss
1229,2004-04-13,JNJ,0.0,0.0,Gain
1250,2004-05-13,JNJ,1.0,0.0,Loss
1266,2004-06-15,JNJ,1.0,0.0,Loss
1288,2004-07-19,JNJ,0.0,1.0,Loss
1307,2004-08-20,JNJ,0.0,1.0,Gain
1321,2004-09-20,JNJ,1.0,0.0,Loss
1348,2004-11-12,JNJ,0.0,1.0,Gain
1378,2004-12-16,JNJ,0.0,1.0,Gain
1420,2005-03-01,JNJ,0.0,1.0,Gain
1426,2005-03-07,JNJ,0.0,1.0,Gain
1434,2005-03-29,JNJ,1.0,1.0,Loss
1455,2005-04-26,JNJ,0.0,1.0,Loss
1537,2005-10-06,JNJ,0.0,1.0,Loss
1560,2005-11-08,JNJ,0.0,1.0,Loss
1581,2005-12-09,JNJ,1.0,0.0,Gain
1595,2006-01-03,JNJ,0.0,1.0,Gain
1617,2006-01-25,JNJ,1.0,0.0,Loss
1630,2006-02-10,JNJ,0.0,1.0,Loss
1651,2006-03-10,JNJ,0.0,1.0,Gain
1663,2006-05-11,JNJ,0.0,1.0,Gain
1685,2006-06-26,JNJ,1.0,0.0,Loss
1712,2006-08-07,JNJ,1.0,0.0,Loss
1744,2006-10-05,JNJ,1.0,0.0,Loss
1757,2006-10-18,JNJ,0.0,1.0,Gain
1834,2007-04-04,JNJ,0.0,1.0,Gain
1872,2007-06-11,JNJ,0.0,1.0,Gain
1881,2007-07-11,JNJ,0.0,0.0,Gain
1920,2007-10-09,JNJ,0.0,0.0,Gain
1969,2008-01-04,JNJ,0.0,1.0,Loss
1984,2008-01-23,JNJ,0.0,1.0,Loss
2059,2008-06-23,JNJ,0.0,0.0,Gain
2095,2008-08-15,JNJ,1.0,0.0,Gain
2130,2008-10-29,JNJ,1.0,0.0,Loss
2199,2009-02-26,JNJ,0.0,0.0,Loss
2216,2009-03-20,JNJ,0.0,1.0,Gain
2249,2009-04-20,JNJ,0.0,1.0,Loss
2258,2009-04-29,JNJ,0.0,1.0,Gain
2268,2009-05-29,JNJ,0.0,0.0,Gain
2450,2010-07-01,JNJ,1.0,0.0,Gain
2531,2011-06-17,JNJ,0.0,0.0,Loss
2569,2011-12-09,JNJ,0.0,1.0,Gain
2662,2012-11-20,JNJ,0.0,0.0,Gain
2673,2013-01-04,JNJ,0.0,1.0,Gain
2720,2013-07-17,JNJ,1.0,0.0,Loss
2755,2014-01-07,JNJ,0.0,1.0,Gain
2760,2014-01-10,JNJ,1.0,0.0,Gain
61,2000-03-14,JPM,0.0,1.0,Loss
101,2000-04-25,JPM,0.0,0.0,Gain
134,2000-06-13,JPM,0.0,1.0,Loss
151,2000-07-06,JPM,0.0,1.0,Gain
160,2000-07-14,JPM,0.0,2.0,Gain
191,2000-08-30,JPM,0.0,1.0,Gain
204,2000-09-13,JPM,1.0,0.0,Loss
267,2000-11-13,JPM,1.0,0.0,Loss
355,2001-03-08,JPM,0.0,0.0,Loss
411,2001-05-07,JPM,1.0,0.0,Loss
418,2001-05-11,JPM,0.0,1.0,Loss
419,2001-05-14,JPM,0.0,1.0,Gain
436,2001-06-07,JPM,1.0,0.0,Loss
445,2001-06-19,JPM,0.0,0.0,Gain
462,2001-07-11,JPM,0.0,0.0,Gain
465,2001-07-13,JPM,0.0,0.0,Gain
582,2001-11-27,JPM,0.0,1.0,Gain
656,2002-02-25,JPM,1.0,0.0,Gain
666,2002-03-06,JPM,0.0,1.0,Gain
667,2002-03-07,JPM,1.0,0.0,Neutral
679,2002-03-19,JPM,0.0,1.0,Gain
710,2002-04-15,JPM,0.0,1.0,Gain
783,2002-07-18,JPM,1.0,0.0,Loss
823,2002-09-09,JPM,1.0,0.0,Loss
833,2002-09-18,JPM,1.0,0.0,Loss
921,2003-01-08,JPM,1.0,0.0,Loss
1113,2003-10-03,JPM,0.0,1.0,Gain
1167,2004-01-06,JPM,0.0,1.0,Gain
1169,2004-01-07,JPM,0.0,1.0,Gain
1243,2004-05-10,JPM,1.0,0.0,Loss
1275,2004-06-25,JPM,0.0,1.0,Gain
1290,2004-07-22,JPM,1.0,0.0,Loss
1352,2004-11-16,JPM,1.0,0.0,Loss
1369,2004-12-09,JPM,0.0,1.0,Gain
1371,2004-12-13,JPM,0.0,0.0,Gain
1422,2005-03-02,JPM,1.0,0.0,Loss
1451,2005-04-18,JPM,0.0,1.0,Gain
1453,2005-04-21,JPM,1.0,0.0,Gain
1493,2005-07-21,JPM,0.0,1.0,Gain
1512,2005-09-07,JPM,0.0,1.0,Gain
1566,2005-11-18,JPM,1.0,0.0,Gain
1603,2006-01-09,JPM,0.0,1.0,Gain
1606,2006-01-12,JPM,1.0,0.0,Loss
1623,2006-01-31,JPM,0.0,1.0,Loss
1684,2006-06-21,JPM,1.0,0.0,Gain
1837,2007-04-12,JPM,0.0,0.0,Gain
1855,2007-05-01,JPM,0.0,0.0,Gain
1877,2007-06-21,JPM,0.0,1.0,Gain
1887,2007-07-18,JPM,1.0,0.0,Loss
1890,2007-07-19,JPM,0.0,1.0,Loss
1902,2007-08-13,JPM,0.0,1.0,Loss
1960,2007-12-11,JPM,1.0,0.0,Loss
1965,2007-12-17,JPM,1.0,0.0,Loss
1980,2008-01-17,JPM,1.0,0.0,Loss
2019,2008-03-11,JPM,0.0,1.0,Gain
2067,2008-07-01,JPM,1.0,0.0,Loss
2150,2008-12-08,JPM,0.0,1.0,Gain
2202,2009-03-02,JPM,0.0,1.0,Loss
2210,2009-03-13,JPM,0.0,1.0,Gain
2239,2009-04-14,JPM,0.0,0.0,Loss
2247,2009-04-17,JPM,1.0,0.0,Gain
2302,2009-08-06,JPM,0.0,1.0,Loss
2324,2009-09-23,JPM,0.0,1.0,Loss
2384,2010-01-14,JPM,0.0,1.0,Gain
2386,2010-01-15,JPM,0.0,1.0,Loss
2389,2010-01-22,JPM,0.0,1.0,Loss
2447,2010-06-16,JPM,0.0,1.0,Gain
2527,2011-05-04,JPM,0.0,1.0,Loss
2529,2011-05-20,JPM,0.0,0.0,Loss
2589,2012-02-29,JPM,0.0,1.0,Gain
2596,2012-03-23,JPM,1.0,0.0,Gain
2610,2012-05-11,JPM,2.0,0.0,Loss
2611,2012-05-14,JPM,0.0,1.0,Loss
2615,2012-05-21,JPM,1.0,0.0,Loss
2633,2012-07-30,JPM,1.0,0.0,Loss
2639,2012-09-14,JPM,1.0,0.0,Gain
2661,2012-11-16,JPM,0.0,1.0,Gain
2672,2013-01-03,JPM,0.0,1.0,Loss
2676,2013-01-08,JPM,1.0,0.0,Gain
2699,2013-04-24,JPM,0.0,1.0,Gain
2721,2013-07-24,JPM,1.0,0.0,Loss
2782,2014-05-21,JPM,0.0,1.0,Gain
2793,2014-07-21,JPM,0.0,1.0,Gain
2803,2014-10-02,JPM,1.0,0.0,Loss
2808,2014-10-15,JPM,0.0,1.0,Loss
15,2000-01-11,KO,0.0,1.0,Gain
17,2000-01-13,KO,0.0,1.0,Loss
19,2000-01-14,KO,0.0,1.0,Gain
26,2000-01-26,KO,0.0,0.0,Loss
46,2000-03-01,KO,0.0,1.0,Gain
118,2000-05-09,KO,0.0,1.0,Gain
119,2000-05-11,KO,0.0,1.0,Gain
138,2000-06-15,KO,0.0,1.0,Gain
147,2000-06-28,KO,1.0,0.0,Gain
153,2000-07-07,KO,0.0,1.0,Loss
183,2000-08-08,KO,0.0,1.0,Loss
195,2000-09-06,KO,0.0,1.0,Loss
269,2000-11-20,KO,1.0,0.0,Loss
273,2000-11-21,KO,0.0,1.0,Loss
343,2001-02-21,KO,2.0,0.0,Loss
416,2001-05-09,KO,0.0,0.0,Loss
421,2001-05-18,KO,0.0,1.0,Loss
451,2001-06-25,KO,0.0,1.0,Gain
481,2001-08-09,KO,0.0,0.0,Gain
532,2001-10-04,KO,0.0,0.0,Loss
551,2001-10-19,KO,0.0,1.0,Gain
568,2001-11-13,KO,0.0,1.0,Gain
613,2002-01-07,KO,1.0,0.0,Loss
625,2002-01-18,KO,0.0,0.0,Gain
636,2002-01-29,KO,1.0,0.0,Loss
682,2002-03-25,KO,0.0,1.0,Gain
762,2002-06-28,KO,0.0,1.0,Loss
835,2002-09-19,KO,1.0,0.0,Loss
859,2002-10-21,KO,0.0,1.0,Gain
943,2003-02-11,KO,0.0,0.0,Loss
982,2003-04-16,KO,1.0,0.0,Loss
1000,2003-05-07,KO,0.0,1.0,Gain
1003,2003-05-09,KO,0.0,1.0,Gain
1099,2003-09-16,KO,1.0,0.0,Loss
1118,2003-10-15,KO,0.0,1.0,Gain
1197,2004-02-20,KO,1.0,0.0,Loss
1202,2004-02-27,KO,1.0,0.0,Gain
1212,2004-03-15,KO,0.0,1.0,Loss
1223,2004-03-29,KO,0.0,1.0,Gain
1235,2004-04-22,KO,1.0,0.0,Loss
1258,2004-05-27,KO,0.0,1.0,Gain
1291,2004-07-23,KO,1.0,0.0,Loss
1314,2004-09-08,KO,1.0,0.0,Loss
1315,2004-09-10,KO,1.0,1.0,Loss
1318,2004-09-15,KO,1.0,0.0,Loss
1430,2005-03-16,KO,0.0,1.0,Loss
1506,2005-08-19,KO,0.0,1.0,Gain
1511,2005-09-06,KO,0.0,1.0,Gain
1556,2005-10-31,KO,1.0,0.0,Loss
1575,2005-12-01,KO,0.0,1.0,Gain
1607,2006-01-12,KO,1.0,0.0,Loss
1633,2006-02-17,KO,0.0,0.0,Gain
1673,2006-06-09,KO,0.0,1.0,Gain
1817,2007-02-16,KO,0.0,1.0,Gain
1818,2007-02-26,KO,0.0,1.0,Gain
1921,2007-10-09,KO,1.0,0.0,Gain
1946,2007-11-14,KO,0.0,1.0,Gain
2005,2008-02-08,KO,0.0,1.0,Gain
2055,2008-06-10,KO,0.0,1.0,Gain
2098,2008-08-28,KO,1.0,0.0,Loss
2113,2008-10-06,KO,1.0,0.0,Loss
2141,2008-11-18,KO,1.0,0.0,Loss
2206,2009-03-09,KO,0.0,1.0,Loss
2331,2009-09-29,KO,0.0,1.0,Gain
2337,2009-10-07,KO,0.0,1.0,Gain
2377,2010-01-08,KO,1.0,0.0,Loss
2408,2010-03-04,KO,0.0,1.0,Gain
2575,2012-01-11,KO,1.0,0.0,Loss
2601,2012-04-03,KO,1.0,0.0,Loss
2677,2013-01-10,KO,1.0,0.0,Loss
2744,2013-11-26,KO,0.0,1.0,Loss
2749,2013-12-02,KO,1.0,0.0,Loss
2770,2014-03-04,KO,0.0,0.0,Gain
2809,2014-10-22,KO,1.0,0.0,Loss
31,2000-01-31,MCD,0.0,1.0,Gain
32,2000-02-03,MCD,0.0,1.0,Loss
63,2000-03-15,MCD,0.0,1.0,Gain
74,2000-03-28,MCD,0.0,1.0,Gain
84,2000-04-13,MCD,1.0,0.0,Loss
132,2000-06-12,MCD,2.0,0.0,Loss
176,2000-07-26,MCD,0.0,2.0,Gain
180,2000-07-31,MCD,0.0,1.0,Loss
208,2000-09-14,MCD,1.0,0.0,Loss
242,2000-10-16,MCD,0.0,0.0,Gain
315,2001-01-17,MCD,0.0,2.0,Gain
362,2001-03-14,MCD,1.0,0.0,Loss
367,2001-03-16,MCD,0.0,0.0,Loss
380,2001-03-29,MCD,0.0,1.0,Gain
443,2001-06-18,MCD,1.0,0.0,Loss
471,2001-07-23,MCD,0.0,1.0,Gain
541,2001-10-15,MCD,0.0,1.0,Gain
552,2001-10-19,MCD,1.0,0.0,Loss
593,2001-12-11,MCD,1.0,0.0,Loss
618,2002-01-15,MCD,0.0,1.0,Gain
626,2002-01-18,MCD,0.0,0.0,Loss
673,2002-03-12,MCD,0.0,0.0,Gain
683,2002-03-25,MCD,1.0,0.0,Loss
717,2002-04-19,MCD,0.0,1.0,Loss
746,2002-06-04,MCD,0.0,0.0,Loss
786,2002-07-19,MCD,0.0,1.0,Loss
829,2002-09-16,MCD,0.0,1.0,Gain
