Date,Price to Book Value Ratio
2005-12-31,16.153183023873
2006-12-31,9.759328358209
2007-12-31,4.0445632798574
2008-12-31,4.1800060404712
2009-12-31,6.94475
2010-12-31,7.3269617706237
2011-12-31,7.9
2012-12-31,9.541438178996378
