Date,Current PE Ratio
2012-12-31,2.252682309125
2010-12-31,-0.52057966530664
2009-12-31,-0.19801875153884
2008-12-31,-0.42836937132314
2007-12-31,-0.020956342060169
2006-12-31,-0.058394416885837
2005-12-31,-0.061932830997449
2004-12-31,-0.062651378351662
2003-12-31,-0.12999865809189
