,0,1,2,3,4,outcome,outcome-class
0,0.0492307692,-0.0029325513,0.0176470588,0.0115606936,0.0028571429,-0.0142450142,0
1,-0.0029325513,0.0176470588,0.0115606936,0.0028571429,-0.0142450142,-0.0028901734,0
2,0.0176470588,0.0115606936,0.0028571429,-0.0142450142,-0.0028901734,0.0115942029,1
3,0.0115606936,0.0028571429,-0.0142450142,-0.0028901734,0.0115942029,-0.0229226361,0
4,0.0028571429,-0.0142450142,-0.0028901734,0.0115942029,-0.0229226361,-0.0058651026,0
5,-0.0142450142,-0.0028901734,0.0115942029,-0.0229226361,-0.0058651026,0,0
6,-0.0028901734,0.0115942029,-0.0229226361,-0.0058651026,0,-0.01179941,0
7,0.0115942029,-0.0229226361,-0.0058651026,0,-0.01179941,-0.0119402985,0
8,-0.0229226361,-0.0058651026,0,-0.01179941,-0.0119402985,0.003021148,1
9,-0.0058651026,0,-0.01179941,-0.0119402985,0.003021148,-0.0030120482,0
10,0,-0.01179941,-0.0119402985,0.003021148,-0.0030120482,-0.0241691843,0
11,-0.01179941,-0.0119402985,0.003021148,-0.0030120482,-0.0241691843,-0.0061919505,0
12,-0.0119402985,0.003021148,-0.0030120482,-0.0241691843,-0.0061919505,-0.0249221184,0
13,0.003021148,-0.0030120482,-0.0241691843,-0.0061919505,-0.0249221184,0.0415335463,1
14,-0.0030120482,-0.0241691843,-0.0061919505,-0.0249221184,0.0415335463,0.0153374233,1
15,-0.0241691843,-0.0061919505,-0.0249221184,0.0415335463,0.0153374233,-0.0090634441,0
16,-0.0061919505,-0.0249221184,0.0415335463,0.0153374233,-0.0090634441,0.006097561,1
17,-0.0249221184,0.0415335463,0.0153374233,-0.0090634441,0.006097561,-0.0181818182,0
18,0.0415335463,0.0153374233,-0.0090634441,0.006097561,-0.0181818182,-0.0216049383,0
19,0.0153374233,-0.0090634441,0.006097561,-0.0181818182,-0.0216049383,0,0
20,-0.0090634441,0.006097561,-0.0181818182,-0.0216049383,0,-0.0094637224,0
21,0.006097561,-0.0181818182,-0.0216049383,0,-0.0094637224,0,0
22,-0.0181818182,-0.0216049383,0,-0.0094637224,0,-0.0541401274,0
23,-0.0216049383,0,-0.0094637224,0,-0.0541401274,0.1043771044,1
24,0,-0.0094637224,0,-0.0541401274,0.1043771044,0.0091463415,1
25,-0.0094637224,0,-0.0541401274,0.1043771044,0.0091463415,-0.0211480363,0
26,0,-0.0541401274,0.1043771044,0.0091463415,-0.0211480363,-0.0030864198,0
27,-0.0541401274,0.1043771044,0.0091463415,-0.0211480363,-0.0030864198,-0.0061919505,0
28,0.1043771044,0.0091463415,-0.0211480363,-0.0030864198,-0.0061919505,0,0
29,0.0091463415,-0.0211480363,-0.0030864198,-0.0061919505,0,-0.0031152648,0
30,-0.0211480363,-0.0030864198,-0.0061919505,0,-0.0031152648,-0.015625,0
31,-0.0030864198,-0.0061919505,0,-0.0031152648,-0.015625,-0.0031746032,0
32,-0.0061919505,0,-0.0031152648,-0.015625,-0.0031746032,-0.0222929936,0
33,0,-0.0031152648,-0.015625,-0.0031746032,-0.0222929936,-0.016286645,0
34,-0.0031152648,-0.015625,-0.0031746032,-0.0222929936,-0.016286645,0.0132450331,1
35,-0.015625,-0.0031746032,-0.0222929936,-0.016286645,0.0132450331,0.0065359477,1
36,-0.0031746032,-0.0222929936,-0.016286645,0.0132450331,0.0065359477,-0.0032467532,0
37,-0.0222929936,-0.016286645,0.0132450331,0.0065359477,-0.0032467532,0.006514658,1
38,-0.016286645,0.0132450331,0.0065359477,-0.0032467532,0.006514658,-0.0064724919,0
39,0.0132450331,0.0065359477,-0.0032467532,0.006514658,-0.0064724919,0.0195439739,1
40,0.0065359477,-0.0032467532,0.006514658,-0.0064724919,0.0195439739,0.0127795527,1
41,-0.0032467532,0.006514658,-0.0064724919,0.0195439739,0.0127795527,0.0347003155,1
42,0.006514658,-0.0064724919,0.0195439739,0.0127795527,0.0347003155,0.0152439024,1
43,-0.0064724919,0.0195439739,0.0127795527,0.0347003155,0.0152439024,0.006006006,1
44,0.0195439739,0.0127795527,0.0347003155,0.0152439024,0.006006006,-0.0089552239,0
45,0.0127795527,0.0347003155,0.0152439024,0.006006006,-0.0089552239,-0.0030120482,0
46,0.0347003155,0.0152439024,0.006006006,-0.0089552239,-0.0030120482,0,0
47,0.0152439024,0.006006006,-0.0089552239,-0.0030120482,0,0.0453172205,1
48,0.006006006,-0.0089552239,-0.0030120482,0,0.0453172205,0.0578034682,1
49,-0.0089552239,-0.0030120482,0,0.0453172205,0.0578034682,-0.0245901639,0
50,-0.0030120482,0,0.0453172205,0.0578034682,-0.0245901639,-0.0056022409,0
51,0,0.0453172205,0.0578034682,-0.0245901639,-0.0056022409,-0.0028169014,0
52,0.0453172205,0.0578034682,-0.0245901639,-0.0056022409,-0.0028169014,-0.0028248588,0
53,0.0578034682,-0.0245901639,-0.0056022409,-0.0028169014,-0.0028248588,0.0028328612,1
54,-0.0245901639,-0.0056022409,-0.0028169014,-0.0028248588,0.0028328612,0.0536723164,1
55,-0.0056022409,-0.0028169014,-0.0028248588,0.0028328612,0.0536723164,-0.0080428954,0
56,-0.0028169014,-0.0028248588,0.0028328612,0.0536723164,-0.0080428954,-0.0081081081,0
57,-0.0028248588,0.0028328612,0.0536723164,-0.0080428954,-0.0081081081,0.0136239782,1
58,0.0028328612,0.0536723164,-0.0080428954,-0.0081081081,0.0136239782,0.0537634409,1
59,0.0536723164,-0.0080428954,-0.0081081081,0.0136239782,0.0537634409,-0.012755102,0
60,-0.0080428954,-0.0081081081,0.0136239782,0.0537634409,-0.012755102,0.0051679587,1
61,-0.0081081081,0.0136239782,0.0537634409,-0.012755102,0.0051679587,0.0102827763,1
62,0.0136239782,0.0537634409,-0.012755102,0.0051679587,0.0102827763,-0.010178117,0
63,0.0537634409,-0.012755102,0.0051679587,0.0102827763,-0.010178117,-0.0385604113,0
64,-0.012755102,0.0051679587,0.0102827763,-0.010178117,-0.0385604113,-0.0187165775,0
65,0.0051679587,0.0102827763,-0.010178117,-0.0385604113,-0.0187165775,0.0027247956,1
66,0.0102827763,-0.010178117,-0.0385604113,-0.0187165775,0.0027247956,0.0135869565,1
67,-0.010178117,-0.0385604113,-0.0187165775,0.0027247956,0.0135869565,-0.0026809651,0
68,-0.0385604113,-0.0187165775,0.0027247956,0.0135869565,-0.0026809651,-0.0241935484,0
69,-0.0187165775,0.0027247956,0.0135869565,-0.0026809651,-0.0241935484,-0.0220385675,0
70,0.0027247956,0.0135869565,-0.0026809651,-0.0241935484,-0.0220385675,0,0
71,0.0135869565,-0.0026809651,-0.0241935484,-0.0220385675,0,-0.0084507042,0
72,-0.0026809651,-0.0241935484,-0.0220385675,0,-0.0084507042,0.0056818182,1
