symbol,pe-delta-ratio,returns
MMM,-0.016283828743869001,-0.019087136929460999
MMM,0.36080342046592001,0.043147208121826999
MMM,-0.029353992429145,0.37923763179238001
MMM,-0.20077411931197001,-0.034811243090674002
MMM,-0.26080146948997002,-0.055684172048250997
MMM,-0.094780575254941005,0.0055483870967742996
MMM,-0.12087900658235,0.081996663672526005
MMM,-0.40635734624754,-0.31759962049335999
MMM,0.79107006079736997,0.4367396593674
MMM,0.15449038065680001,0.043909519777427998
MMM,-0.29891225606223998,-0.052954808806489
MMM,0.099786773996324005,0.13605775113178001
MMM,0.40244786001645999,0.51050080775443996
ABT,0.23968355250854001,0.15111478117258001
ABT,-0.36321170737795,-0.28263988522237998
ABT,0.11338840070209,0.16500000000000001
ABT,-0.074609785094141998,0.00085836909871243004
ABT,-0.14381260925603001,-0.15437392795883001
ABT,0.081442930344514997,0.23529411764706001
ABT,0.19277406680718001,0.15270935960591001
ABT,-0.19527884662072001,-0.049857549857549997
ABT,-0.041815152435975,0.011994002998501001
ABT,-0.27915114799689,-0.11259259259259
ABT,0.046784073777970003,0.17362270450751
ABT,0.052129025634668001,0.16465149359886
ABT,-0.29158901010234001,0.17038167938931001
ACN,1.2949616978828,0.025835866261397999
ACN,-0.069537645244002994,0.069259259259259007
ACN,-0.49221720885845999,0.27918254243159002
ACN,0.65936546856511002,-0.024370430544273
ACN,-0.30297933826242002,-0.089925062447960002
ACN,-0.40255910732965,0.26562976517231002
ACN,0.26131134287815,0.16843373493975999
ACN,0.12899187326924,0.097752113837904997
ACN,-0.16173380945155,0.24929551005072001
ACN,0.042210383732279998,0.23639097744361001
ACE,0.26475274928206,0.41172460804362998
ACE,-0.54500307403925996,0.032110091743118997
ACE,0.59156266942061997,0.25005847953215998
ACE,0.32688989587511003,0.13342065868263001
ACE,-0.59018002380834,0.019976886247316999
ACE,-0.23240191356619999,-0.14341210747815
ACE,0.0052001278138840996,-0.047619047619047998
ACE,0.17614636036933001,0.23511904761905
ACE,0.15087487854511999,0.12642570281125001
ACE,0.28707646024016997,0.13804905875642001
ADBE,-0.53561289554074998,-0.46648332760398997
ADBE,-0.11507835044824,-0.20103092783505
ADBE,0.76087755176217997,0.57580645161290001
ADBE,0.35823791350685003,0.60542476970317005
ADBE,-0.26522152637765001,0.17819572840292999
ADBE,0.038114113913544002,0.11255411255411001
ADBE,0.14276797696147001,0.039153696498054003
ADBE,-0.67803273560856003,-0.50175520711443999
ADBE,0.43245165975928002,0.72757162987318003
ADBE,0.83063457146623998,-0.16313213703099999
ADBE,-0.56394070287036002,-0.081546458739440997
ADBE,0.24904339221793001,0.33286169083834
ADBE,3.6577710693390002,0.58917197452228998
AES,-0.80776868934187995,-0.70476706392198996
AES,-0.76538210420927999,-0.81529051987767998
AES,3.6057766691061999,2.1258278145695
AES,0.95698623664275995,0.44809322033898003
AES,-0.10056279311198001,0.15801024140454001
AES,-0.0035619665434423,0.39229311433986003
AES,-0.098046353070236,-0.029491833030852999
AES,-0.59608489936224995,-0.61477325853202003
AES,0.64607904176250996,0.61529126213592
AES,-0.024142865587986999,-0.084898572501878003
AES,0.30272329933879999,-0.096283783783783994
AES,-1.0,0.35607476635514002
AET,1.9336785275532,-0.19668938656279999
AET,0.042664058465328003,0.64396887159533001
AET,-0.18791143536002999,0.84556213017752002
AET,0.1069226268548,0.51202308432190002
AET,-0.22715953095506999,-0.084393553859202997
AET,0.042012491139643997,0.33696155627605001
AET,-0.64301373036011,-0.50632253594318
AET,0.15627798780440999,0.11228070175439001
AET,0.30646219330572,-0.037539432176656
AET,-0.0065224296494563001,0.38282530317928998
AET,-0.2036516744295,0.097653472386821996
AET,0.93190004071989996,0.48110559274455
AMG,0.64157157731449999,0.28442622950820001
AMG,-0.13544275700934,-0.28632205913635
AMG,0.10750310702401,0.38271236959762001
AMG,0.25848807775242,0.46022849752102002
AMG,0.080416485725270007,0.18467670504872
AMG,-0.24807883372830999,0.31003115264797998
AMG,-0.20991842536036001,0.11728336345477
AMG,-0.62255890817541004,-0.64311254895282999
AMG,14.738556300185,0.60663167938930995
AMG,-0.29786588390792001,0.47319970304379999
AMG,-0.59260792356076997,-0.032957065107841001
AMG,0.1331828925837,0.35643564356436003
AFL,-0.43956514659273999,-0.31947908007758002
AFL,0.26576787648302003,0.22638436482085
